Ticker,Name,Description,Price(USD),Start,End,ROI(Pct),Timezone,Duration
WIN,WAWLLET,Worlds first multiasset wallet and personal financial passport,0.0,2018-01-29 10:00:00,2018-03-30 09:59:00,-0.9998999999999999,UTC+0,59 days 23:59:00.000000000
CDG,CDG,Technology which covers the treatment process of raw domestic waste and green waste from agriculture,0.0,2018-03-15 12:00:00,2018-03-30 12:00:00,0.0,UTC+7,15 days 00:00:00.000000000
RQX,Requitix,Trusted Token and Confidence System,0.0,2018-02-20 00:00:01,2018-03-31 00:00:01,0.0,UTC+0,39 days 00:00:00.000000000
ESB,ENS.BID,ENSBID focuses on offering the best identity storage and domain name service to the decentralized world of Ethereum,0.0,2018-01-10 01:00:00,2018-03-31 01:00:00,0.0,UTC+0,80 days 00:00:00.000000000
WIKI,Wikibits,Be Part of the Next Generation Wiki,0.0,2017-12-15 05:00:00,2018-03-31 05:00:00,0.0,UTC+0,106 days 00:00:00.000000000
PITCH,Pitch,Entrepreneurs and Startups can Pitch Investors Live on the Platform,0.0,2018-02-28 05:55:00,2018-03-31 05:55:00,0.0,UTC+0,31 days 00:00:00.000000000
THT,Thought,Eliminate Traditional Applications with Data That Thinks,0.0,2018-03-01 09:00:00,2018-03-31 09:00:00,0.0,UTC--5,30 days 00:00:00.000000000
YUP,Crowdholding,A Decentralized Open Innovation platform that connects entrepreneurs and supporters,0.0,2017-11-01 10:00:00,2018-03-31 10:00:00,0.0,UTC+2,150 days 00:00:00.000000000
RNTB,BitRent,First decentralized Blockchain construction platform,0.0,2017-11-24 11:00:00,2018-03-31 11:00:00,-0.9987999999999999,UTC+0,127 days 00:00:00.000000000
BEEF,BeefCoin,Integrated production of organic beef from farm to table,0.0,2018-01-01 12:00:00,2018-03-31 12:00:00,0.0,UTC+0,89 days 00:00:00.000000000
FSBT,Forty Seven Bank,Forty Seven Bank is financial technology startup aimed at building a bridge between cryptocurrency world and the world of traditional monetary finance,0.15,2017-11-16 13:00:00,2018-03-31 13:00:00,-0.9079,UTC+0,135 days 00:00:00.000000000
HION,Handelion,Handelion is a revolutionary blockchain ecosystem for cofunded wholesale trade,0.0,2017-12-15 13:00:00,2018-03-31 13:00:00,0.0,UTC+2,106 days 00:00:00.000000000
RTB,AB-CHAIN,ABCHAIN ADVERTISING NETWORK  Blockchain and AI for enhanced campaigns,48.88,2018-02-19 09:00:00,2018-03-31 21:00:00,138.65709999999999,UTC+0,40 days 12:00:00.000000000
GES,Galaxy eSolutions,A global distribution and ecommerce marketplace for refurbished consumer electronics,0.0,2018-02-28 12:00:00,2018-03-31 23:59:00,0.0,UTC+0,31 days 11:59:00.000000000
Eroiy,Eroiy,The anonymous and safe payment method of the adult industry through the infusion of Blockchain,0.0,2018-01-30 00:00:00,2018-03-31 23:59:00,0.0,UTC+0,60 days 23:59:00.000000000
