rank_cnc,Name,ticker,market_cap,price,volume24,pct1h,pct24h,pct7d
70, IOST,IOST,"76,830,531",0.006395,"26,359,891",-0.43,-1.78,-1.76
71, THETA,THETA,"76,369,970",0.087731,"11,181,090",0.97,-2.52,-4.68
72, Karatgold Coin,KBC,"73,673,000",0.019633,"1,898,874",0.04,-4.19,-5.48
73, BitShares,BTS,"72,673,535",0.026447,"1,739,231",-0.5,-1.51,-9.72
74, Verge,XVG,"71,619,356",0.004462,"8,873,897",-2.75,13.87,12.21
75, MonaCoin,MONA,"70,699,843",1.08,"635,497",-0.39,-1.02,-2.13
76, Bytecoin,BCN,"68,182,905",0.000370,"13,997",-5.29,-11.16,-11.81
77, Aeternity,AE,"67,699,269",0.232707,"53,450,389",-0.25,-2.76,-2.70
78, MCO,MCO,"67,656,969",4.28,"11,463,179",-0.16,-4.84,-1.41
79, MaidSafeCoin,MAID,"59,372,921",0.131196,"217,711",-0.24,-1.08,-1.65
80, Nexo,NEXO,"59,267,458",0.105835,"10,986,044",-0.86,-1.31,2.99
81, Aurora,AOA,"58,475,618",0.008938,"2,483,685",-10.42,-8.09,8.39
82, iExec RLC,RLC,"57,487,535",0.717959,"793,957",-0.16,-4.04,7.69
83, Chiliz,CHZ,"54,053,483",0.014365,"9,173,725",-0.44,-0.5,0.93
84, BitMax Token,BTMX,"53,875,621",0.068398,"3,524,342",-2.42,-1.54,-0.82
85, Ardor,ARDR,"53,689,505",0.053743,"2,419,799",-0.9,-2.58,-2.14
86, Zilliqa,ZIL,"53,288,607",0.006134,"11,450,553",-0.77,4.89,-6.13
87, Enjin Coin,ENJ,"52,400,269",0.066785,"3,419,041",1.29,7.42,2.44
88, Energi,NRG,"51,156,469",2.26,"461,110",-0.14,-1.16,-9.35
89, Steem,STEEM,"50,344,146",0.143429,"1,548,419",-1.11,1.82,-0.02
90, Ren,REN,"48,152,821",0.060153,"4,733,786",-1.93,2.07,4.70
91, RIF Token,RIF,"47,688,961",0.088810,"24,546,956",0.0,1.2,-10.69
92, Status,SNT,"44,910,334",0.012941,"185,829,000",0.36,-1.13,-4.28
93, aelf,ELF,"44,643,005",0.081992,"9,960,282",-0.86,1.73,-4.70
94, Golem,GNT,"44,557,248",0.045464,"4,200,621",0.14,-0.19,1.17
95, UNI COIN,UNI,"43,278,753",3.35,"13,644",-0.1,51.97,135.40
96, Newton,NEW,"42,810,240",0.003583,"4,200,710",-0.37,-0.65,-0.55
97, Crypterium,CRPT,"42,022,798",0.495624,"254,111",-0.37,-5.39,-4.26
98, Horizen,ZEN,"41,645,867",5.36,"1,108,608",-0.72,1.93,6.62
99, Pundi X,NPXS,"41,143,707",0.000176,"974,542",-0.22,-2.31,-7.14
100, Zcoin,XZC,"40,568,430",4.61,"5,106,586",0.17,-2.9,-7.97
101, ILCoin,ILC,"40,511,691",0.121437,"603,390",-0.02,-0.34,-6.40
102, Grin,GRIN,"39,916,531",1.53,"50,250,088",-1.66,-5.65,27.33
103, Huobi Pool Token,HPT,"39,374,502",0.007756,"865,326",-0.18,-1.06,-6.14
104, GXChain,GXC,"38,981,411",0.599714,"26,463,284",-0.41,2.38,4.60
105, Metaverse ETP,ETP,"37,395,641",0.485766,"6,541,898",-0.95,-1.34,20.27
106, Molecular Future,MOF,"37,185,979",0.878026,"40,245,807",-0.58,-3.18,1.77
107, Nash Exchange,NEX,"36,290,157",1.00,"1,812,761",-0.28,3.04,-4.11
108, SOLVE,SOLVE,"36,221,613",0.110626,"269,104",0.28,-1.3,-6.82
109, Electroneum,ETN,"35,684,061",0.003610,"888,485",0.01,-0.83,-2.45
110, STASIS EURO,EURS,"35,269,794",1.10,"180,475",-0.19,0.02,-0.37
111, WINk,WIN,"35,031,286",0.000178,"1,433,637",-0.12,-2.64,2.18
112, Dragon Coins,DRG,"34,508,776",0.098976,"47,024",-0.14,-4.89,-0.10
113, Matic Network,MATIC,"34,394,082",0.014399,"9,289,620",-0.16,-3.94,-5.04
114, Digitex Futures,DGTX,"33,603,971",0.042740,"1,441,148",-0.08,-2.41,4.76
115, Aion,AION,"33,270,759",0.091718,"1,622,779",-0.38,-1.0,2.32
116, Tierion,TNT,"33,042,739",0.077116,"2,995,029",-1.5,2.92,10.96
117, Beam,BEAM,"32,980,212",0.733514,"41,267,776",0.56,-3.37,6.71
118, Lambda,LAMB,"32,875,534",0.043719,"88,560,145",3.72,4.07,-11.26
119, XMax,XMX,"32,748,675",0.001829,"219,492,295",-0.16,-4.36,-7.52
120, Noah Coin,NOAH,"32,268,258",0.000987,"1,522",0.98,2.29,177.99
121, Nebulas,NAS,"31,688,283",0.609946,"15,187,716",-1.23,-6.43,-1.12
122, Elastos,ELA,"31,147,795",1.94,"432,088",0.85,-1.35,-4.86
123, Decentraland,MANA,"31,081,953",0.029598,"4,691,779",-0.7,-0.91,-5.97
124, Populous,PPT,"30,855,147",0.579415,"2,982,164",-1.64,4.26,12.35
125, Waltonchain,WTC,"30,633,457",0.714785,"2,352,561",-0.55,-1.61,-8.15
126, Project Pai,PAI,"30,568,031",0.021084,"988,034",-1.33,4.42,-0.32
127, Stratis,STRAT,"30,361,067",0.304939,"425,404",-0.85,-0.93,-5.89
128, NULS,NULS,"30,282,399",0.410495,"2,705,481",-0.54,-3.41,0.00
129, Kyber Network,KNC,"30,112,341",0.178337,"3,306,097",-0.74,-3.99,0.14
130, BitCapitalVendor,BCV,"29,867,715",0.033245,"1,542,266",1.34,5.71,-12.50
131, Bread,BRD,"29,811,469",0.335965,"1,147,247",0.34,-0.73,-3.62
132, Thunder Token,TT,"28,839,356",0.009938,"2,105,332",-1.74,-4.13,-4.12
133, Loopring,LRC,"28,675,627",0.031373,"3,729,357",-0.45,-1.19,-3.32
134, Ignis,IGNIS,"28,178,642",0.037021,"930,173",-0.25,-2.5,5.84
135, Factom,FCT,"27,676,849",2.87,"13,687",-0.07,1.57,2.66
136, WaykiChain,WICC,"27,492,991",0.145466,"1,035,211",0.89,2.99,-2.00
137, Fetch.ai,FET,"27,128,753",0.044615,"14,432,647",0.25,5.62,7.18
138, ODEM,ODE,"26,926,559",0.116813,"519,644",0.98,-12.6,-30.80
139, Civic,CVC,"26,588,746",0.039685,"2,670,610",0.23,-0.64,-5.45
140, TrueChain,TRUE,"25,595,397",0.321649,"24,275,810",-1.58,-6.9,-7.91
141, IoTeX,IOTX,"25,068,972",0.004642,"2,561,155",-2.38,-7.06,-10.68
142, YOU COIN,YOU,"24,800,521",0.059259,"8,997,338",-0.29,-0.6,2.39
143, Ripio Credit ...,RCN,"24,770,914",0.048643,"3,579,835",0.94,0.27,0.03
144, Ark,ARK,"24,575,622",0.212235,"325,474",-1.25,-3.53,-2.37
145, DigixDAO,DGD,"24,526,675",12.26,"356,819",-0.28,-0.88,-6.81
146, Gatechain Token,GT,"23,867,097",0.578551,"3,085,757",0.26,1.36,-2.61
147, FunFair,FUN,"23,847,715",0.003641,"389,100",-1.25,-4.04,-3.81
148, TomoChain,TOMO,"23,612,385",0.361829,"10,053,105",-0.63,-7.25,-3.82
149, Wanchain,WAN,"23,551,880",0.221868,"711,062",-0.35,-4.88,-4.16
150, Fantom,FTM,"23,526,935",0.012972,"2,707,360",0.22,-1.3,-8.97
151, Hedera Hashgraph,HBAR,"23,195,411",0.034207,"1,710,553",0.12,-3.41,1.83
152, Hyperion,HYN,"22,879,007",0.072227,"521,276",-0.09,1.53,4.39
153, Enigma,ENG,"22,634,711",0.302457,"1,261,610",-0.55,0.43,0.91
154, ReddCoin,RDD,"22,555,026",0.000783,"45,727",-4.17,-4.37,-11.77
155, Loom Network,LOOM,"22,225,410",0.022921,"2,628,202",-0.25,1.01,1.51
156, Revain,R,"22,058,970",0.045534,"433,106",0.12,-3.83,-6.84
157, Aragon,ANT,"21,546,140",0.711845,"9,601",-0.11,-2.58,-7.94
158, WAX,WAXP,"21,214,029",0.025339,"192,425",-0.99,-0.78,-4.53
159, Arcblock,ABT,"21,005,768",0.213139,"18,126,016",-4.13,4.17,26.39
160, LINA,LINA,"20,812,069",0.075699,"1,323,138",-4.62,-6.12,-5.05
161, QASH,QASH,"20,664,221",0.059041,"359,653",3.95,8.17,-1.73
162, Bancor,BNT,"20,400,332",0.325945,"5,513,830",-0.15,0.45,0.99
163, Orbs,ORBS,"20,272,003",0.010425,"140,684",-0.85,-1.82,-4.29
164, EDC Blockchain,EDC,"20,248,277",0.007582,"995,364",-0.54,-1.48,-5.41
165, Matrix AI Net...,MAN,"20,144,625",0.104567,"648,899",-3.69,-2.22,-3.96
166, Power Ledger,POWR,"19,720,175",0.046810,"795,710",0.32,0.74,-3.40
