,Name,Compound,Description,Duration,End,Negative,Neutral,Positive,Price(USD),ROI(Pct),Start,Ticker,Timezone
i,MyDFS,,,,,,,,,,,,
i,Codex Protocol,0.0,,,,0.0,1.0,0.0,,,,,
i,BotChain,,,,,,,,,,,,
i,STREAMITY,,,,,,,,,,,,
i,Datareum,,,,,,,,,,,,
i,Starflow,,,,,,,,,,,,
i,Ligercoin,,,,,,,,,,,,
i,Bounty Angels,0.5983,,,,0.0,0.763,0.237,,,,,
i,PR Network,0.32447499999999996,,,,0.0052499999999999995,0.8774499999999998,0.11729999999999999,,,,,
i,SportsCastr FanChain,,,,,,,,,,,,
i,Coins4Favors,,,,,,,,,,,,
i,Darico,,,,,,,,,,,,
i,TrustedCars Flex,,,,,,,,,,,,
i,Kasko2go,0.17936923076923075,,,,0.008538461538461538,0.9180769230769231,0.07338461538461538,,,,,
i,Playtness,,,,,,,,,,,,
i,Avinoc,0.3818,,,,0.0,0.88,0.12,,,,,
i,LendsBay,,,,,,,,,,,,
i,IAqua,,,,,,,,,,,,
i,Coinet,,,,,,,,,,,,
i,Valorem Foundation,0.459905,,,,0.0,0.8222999999999999,0.1777,,,,,
i,CriptoHub,,,,,,,,,,,,
i,Plentix,,,,,,,,,,,,
i,TV-TWO,0.28301999999999994,,,,0.02325,0.83985,0.1369,,,,,
i,Yumerium,,,,,,,,,,,,
i,Typerium,0.38332,,,,0.0201,0.8256,0.1543,,,,,
i,IAC AutoUnit,,,,,,,,,,,,
i,GANA,-0.07541,,,,0.045599999999999995,0.9388000000000002,0.015599999999999998,,,,,
i,Luckchemy,,,,,,,,,,,,
i,PAYERA,,,,,,,,,,,,
i,FTEC,-0.01099375,,,,0.006,0.994,0.0,,,,,
i,Kepler Technologies,,,,,,,,,,,,
i,BEAT,0.097495,,,,0.0041,0.97165,0.02425,,,,,
i,AbacasXchange,,,,,,,,,,,,
i,VERNAM,,,,,,,,,,,,
i,Odyfund,,,,,,,,,,,,
i,Friend,0.5045400000000001,,,,0.00965,0.7490000000000001,0.24135,,,,,
i,Mandala,0.16043999999999997,,,,0.01365,0.9236500000000001,0.0627,,,,,
i,Nihilum,,,,,,,,,,,,
i,Delphi Technologies Token.,,,,,,,,,,,,
i,XSEARCH,,,,,,,,,,,,
i,CrowdIF,,,,,,,,,,,,
i,Essentia,0.22058,,,,0.0,0.92515,0.07485,,,,,
i,DataBroker DAO,,,,,,,,,,,,
i,D-ZONE COIN,,,,,,,,,,,,
i,WinStars,0.7269,,,,0.0,0.816,0.184,,,,,
i,TRIPBIT,,,,,,,,,,,,
i,Teacher Coin,,,,,,,,,,,,
i,Paygine,,,,,,,,,,,,
i,RealCasino,0.0,,,,0.0,1.0,0.0,,,,,
i,All-Stocks Network,-0.20564,,,,0.11339999999999999,0.8606,0.026000000000000002,,,,,
i,Konios,0.7579,,,,0.0,0.737,0.263,,,,,
i,Globatalent,0.5927,,,,0.0,0.845,0.155,,,,,
i,Global REIT,0.0,,,,0.0,1.0,0.0,,,,,
i,RoBET,0.0,,,,0.0,1.0,0.0,,,,,
i,Lotus Core,,,,,,,,,,,,
i,EQUI,0.0,,,,0.0,1.0,0.0,,,,,
i,Triwer,,,,,,,,,,,,
i,WELL,0.22169,,,,0.029449999999999997,0.87705,0.09345,,,,,
i,ADAMANT Messenger,,,,,,,,,,,,
i,PRETHER,,,,,,,,,,,,
i,ICST,0.2449,,,,0.0,0.9315,0.0685,,,,,
i,Savage Token,,,,,,,,,,,,
i,Coin Mine Australia,,,,,,,,,,,,
i,WeevoCity,,,,,,,,,,,,
i,Acorn Collective,,,,,,,,,,,,
i,Deedcoin,0.44718750000000007,,,,0.0,0.8887499999999999,0.11124999999999999,,,,,
i,SOOM Blockchain,,,,,,,,,,,,
i,Earthmedz,,,,,,,,,,,,
i,DACC,0.005049999999999985,,,,0.062125,0.858,0.079875,,,,,
i,Cryptectum,,,,,,,,,,,,
i,QYKBAR,,,,,,,,,,,,
i,Befund,0.0,,,,0.0,1.0,0.0,,,,,
i,BIORITMAI,,,,,,,,,,,,
i,BHOM,0.5719,,,,0.0,0.844,0.156,,,,,
i,BINKD,,,,,,,,,,,,
i,CryptoFlix,,,,,,,,,,,,
i,Airchain Network,,,,,,,,,,,,
i,CRYSTALS,0.0,,,,0.0,1.0,0.0,,,,,
i,CRYDE,0.0,,,,0.0,1.0,0.0,,,,,
i,GIFcoin,,,,,,,,,,,,
i,Multiversum,-0.2376,,,,0.07657142857142858,0.9234285714285715,0.0,,,,,
i,White Rabbit,0.28736,,,,0.0,0.892,0.10800000000000001,,,,,
i,CoinOil,,,,,,,,,,,,
