compound,negative,neutral,positive,text
0.0,0.0,1.0,0.0,"At 6:45 on Sunday morning, just as it really started to rain, there was a line of several hundred people snaking down a windblown stretch of Flushing Avenue across from Commodore Barry Park. First on line, a woman who had flown in on Friday from San Antonio, … [+5597 chars]"
0.854,0.0,0.786,0.214,"Small to midsize companies and startups as opposed to behemoths like Amazon or Facebook have flooded Brooklyns office market, meaning projects need to offer tinier floor plates and more flexibility to succeed. 
Still, even with all the new developments, plen… [+5630 chars]"
