compound,negative,neutral,positive,text
0.8519,0.0,0.78,0.22,"We are still in an overall bull market and many stocks that smart money investors were piling into surged through October 17th. Among them, Facebook and Microsoft ranked among the top 3 picks and these stocks gained 45% and 39% respectively. Hedge funds' top … [+5499 chars]"
0.1037,0.187,0.603,0.21,"Hedge funds are not perfect. They have their bad picks just like everyone else. Facebook, a stock hedge funds have loved dearly, lost nearly 40% of its value at one point in 2018. Although hedge funds are not perfect, their consensus picks do deliver solid re… [+5387 chars]"
0.8519,0.0,0.78,0.22,"We are still in an overall bull market and many stocks that smart money investors were piling into surged through October 17th. Among them, Facebook and Microsoft ranked among the top 3 picks and these stocks gained 45% and 39% respectively. Hedge funds' top … [+5435 chars]"
-0.479,0.143,0.747,0.11,"It seems that the masses and most of the financial media hate hedge funds and what they do, but why is this hatred of hedge funds so prominent? At the end of the day, these asset management firms do not gamble the hard-earned money of the people who are on th… [+6469 chars]"
0.3612,0.0,0.944,0.056,"Before we spend countless hours researching a company, we like to analyze what insiders, hedge funds and billionaire investors think of the stock first. This is a necessary first step in our investment process because our research has shown that the elite inv… [+5086 chars]"
0.8689,0.0,0.787,0.213,"Is FTS International, Inc. (NYSE:FTSI) a good place to invest some of your money right now? We can gain invaluable insight to help us answer that question by studying the investment trends of top investors, who employ world-class Ivy League graduates, who are… [+5479 chars]"
-0.6808,0.153,0.847,0.0,"The market has been volatile in the last few months as the Federal Reserve continued its rate cuts and uncertainty looms over trade negotiations with China. Small cap stocks have been hit hard as a result, as the Russell 2000 ETF (IWM) has underperformed the … [+5591 chars]"
0.3612,0.0,0.944,0.056,"Before we spend countless hours researching a company, we like to analyze what insiders, hedge funds and billionaire investors think of the stock first. This is a necessary first step in our investment process because our research has shown that the elite inv… [+5332 chars]"
0.0,0.0,1.0,0.0,Legendary investors such as Jeffrey Talpins and Seth Klarman earn enormous amounts of money for themselves and their investors by doing in-depth research on small-cap stocks that big brokerage houses don't publish. Small cap stocks -especially when they are s… [+6155 chars]
