compound,negative,neutral,positive,text
0.9231,0.0,0.755,0.245,"Mr. Rajesh Mongas Trouvaille ridden by C.S. Jodha won the Pune Derby (Gr. 1), the stellar attraction of Pune racing season here on Sunday (Oct.13).
The winner is trained by S.K. Sunderji.
Trouvaille was racing comfortably in sixth position till the bend, la… [+4624 chars]"
0.926,0.0,0.752,0.248,"S. Ganapathy-trained Southern Ruler (Srinath up), won the AVR Group and Catalyst Properties Mysore Derby, the chief event of the races held here on Sunday (Oct 20). The winner is owned by Mr. M.A.M. Ramaswamy Chettiar of Chettinad Charitable Trust rep by. Mr.… [+4383 chars]"
0.7351,0.0,0.879,0.121,"NEW YORK, Nov. 11, 2019 /PRNewswire/ -- Below are experts from the ProfNet network who are available to discuss timely issues in your coverage area.  
You can also submit a query to the hundreds of thousands of experts in our network it's easy and free. Just… [+13019 chars]"
0.0,0.0,1.0,0.0,"Also in This Edition: Jobs for Writers, Media Industry News
Below are experts from the ProfNet network who are available to discuss timely issues in your coverage area.  
You can also submit a query to the hundreds of thousands of experts in our network it'… [+13930 chars]"
