compound,negative,neutral,positive,text
0.0,0.123,0.738,0.139,"In poker, complacency is a quiet killer. It can steal your forward momentum bit by bit, using the warm glow of a winning hand or two to cover the bets youre not making until its too late and youre out of leverage. 
Over the past few years, Apples MacBook gam… [+13149 chars]"
0.875,0.054,0.685,0.261,"Computer scientists at DeepMind have developed an artificially intelligent bot capable of defeating the worlds best players at StarCraft II, the popular real-time strategy video game.
New research published today in Nature describes AlphaStarthe first artifi… [+7820 chars]"
-0.4215,0.065,0.935,0.0,"Next up: Pokemon vs actual pets. (h/t Adam Savage)
At last weekend’s International Federation of Sport Climbing (IFSC) World Cup, Indonesias Aries Susanti Rahayu, aka “Spiderwoman,” broke the women’s speed climbing record previously set in April by her compe… [+1445 chars]"
-0.4215,0.069,0.931,0.0,"At last weekend’s International Federation of Sport Climbing (IFSC) World Cup, Indonesias Aries Susanti Rahayu, aka “Spiderwoman,” broke the women’s speed climbing record previously set in April by her competitor, Chinas Song Yiling. Rahayu bested Yiling’s pr… [+1415 chars]"
-0.4215,0.069,0.931,0.0,"At last weekend's International Federation of Sport Climbing (IFSC) World Cup, Indonesias Aries Susanti Rahayu, aka ""Spiderwoman,"" broke the women's speed climbing record previously set in April by her competitor, Chinas Song Yiling. Rahayu bested Yiling's pr… [+1934 chars]"
0.9041,0.0,0.736,0.264,"DeepMind today announced a new milestone for its artificial intelligence agents trained to play the Blizzard Entertainment game StarCraft II. The Google-owned AI lab's more sophisticated software, still called AlphaStar, is now grandmaster level in the real-t… [+1219 chars]"
0.743,0.0,0.877,0.123,"There are a lot of different language apps out there because nobody learns anything the same exact way - especially not something as complex as a new language. For some people, the best way is to dive in and start talking, but that's easier said than done if … [+2666 chars]"
-0.0516,0.087,0.851,0.062,"Roundup While Microsoft basked in the warmth of soaring digits last week, former technical evangelist and engineer James Whittaker was there to tip an icy scorn bucket over Windows and the culture lurking behind it.
Those with long memories will remember the… [+5858 chars]"
-0.4019,0.101,0.899,0.0,"My Two-for-Tuesday morning train reads:
 Inside Mark Zuckerberg’s private meetings with conservative pundits: The social-media giant fends off accusations of liberal bias with lengthy, off-the-record gatherings at Zuckerberg’s home (Politico) see also Facebo… [+1548 chars]"
0.25,0.0,0.95,0.05,"DeepMind has trained an AI agent that plays StarCraft II at the Grandmaster levelbetter than 99.98 percent of human players, the machine-learning-focused Google spinoff announced in a new paper 
 AlphaStar, the AI in question, achieved its Grandmaster status… [+4824 chars]"
0.5994,0.0,0.896,0.104,"Magic: The Gathering is experiencing a bit of a renaissance, and you dont have to look at publisher Hasbros financials to prove it. The 26-year-old strategy card game is alive, kickin and as accessible as ever to those curious about picking up a new hobby. 
… [+7954 chars]"
0.8442,0.0,0.811,0.189,Digital gaming platform Spartan Poker on November 11 announced the schedule for two poker tournaments for next year India Poker Championship (IPC) and India Online Poker Championship (IOPC)  with a guaranteed prize pool of Rs 5 crore and Rs 16 crore respectiv… [+1711 chars]
0.7757,0.0,0.85,0.15,"What's Diwali without a card game with family and friends? Many are busy brushing up on card game skills. But what are you playing --- rummy, teen patti or poker?
It looks like people are preferring poker over the other two games, especially during Diwali to… [+3594 chars]"
0.2023,0.0,0.962,0.038,"I used to think my parents were strict with gaming - that is, until I saw the new restrictions from the Chinese government, which place significant limits on the amount of time kids can spend in online games.
The South China Morning Post reports that new ant… [+3107 chars]"
0.25,0.057,0.844,0.099,"How much would you be willing to bet on your ability to lose weight? For most of us, maybe a couple-hundred bucks would be motivation enough. For professional poker player Bryn Kenney
, that’s less than small potatoes—it’s pocket change. When you’re currentl… [+3936 chars]"
0.25,0.057,0.844,0.099,"How much would you be willing to bet on your ability to lose weight? For most of us, maybe a couple-hundred bucks would be motivation enough. For professional poker player Bryn Kenney
, that’s less than small potatoes—it’s pocket change. When you’re currentl… [+3936 chars]"
-0.5106,0.13,0.786,0.084,"Back in 2015, when Greeces debt crisis made it a possible contender for ejection from the eurozone, talk of a possible Grexit was rife. A year later, the day the UK voted in a referendum on EU membership, Quartz published a lighthearted post on the possible n… [+4181 chars]"
-0.2023,0.085,0.853,0.062,"Image source: The Motley Fool.
NGL Energy Partners LP (NYSE:NGL)Q2 2020 Earnings CallNov 8, 2019, 11:00 a.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Participants</li></ul>Prepared Remarks:
Operator
Ladies and gent… [+50914 chars]"
0.7351,0.0,0.879,0.121,"Welcome to The Spin Cycle, a semi-regular look at how the impeachment inquiry is being sold to the American public by Washington-types both those who are looking to oust the president and those looking to save him.
For most of the short life of the impeachme… [+4495 chars]"
