compound,negative,neutral,positive,text
0.0,0.0,1.0,0.0,"MANILA - The brewing storm east of Surigao del Sur will bring scattered rains over Bicol region, Palawan, Visayas and Mindanao, the state weather bureau said early Sunday.
The low-pressure area (LPA), unlikely to become a storm as it crosses Philippine landm… [+429 chars]"
0.3612,0.0,0.941,0.059,"If you've ever searched for cookware, specialty ingredients, or kitchen gadgets online, you've probably stumbled upon Sur La Table. The retailer offers a variety of kitchen products from legacy brands like Le Creuset and KitchenAid to their own in-house label… [+583 chars]"
0.0,0.0,1.0,0.0,"MANILA—State weather bureau PAGASA said Saturday it was monitoring a new low-pressure area (LPA) inside the Philippine area of responsibility (PAR).
The weather system was spotted 940 kilometers east-southeast of Hinatuan, Surigao del Sur as of 5 a.m., weath… [+497 chars]"
0.0,0.0,1.0,0.0,"By Bonita Ermac 
MARAWI CITY – Health Secretary Francisco T. Duquee III spearheaded Lanao del Surs province-wide Synchronized Polio Immunization Campaign or the Sabayang Patak Kontra Polio kick-off ceremony on October 14 at the Social Hall, Provincial Capito… [+1967 chars]"
0.9793,0.044,0.493,0.463,"You cant fight fire with fire, I have said it many times, Mr. López Obrador said Monday. You cant fight violence with violence, you cant fight evil with evil you have to fight evil by doing good.
Early on Monday morning, before the attack, Alfonso Durazo, Me… [+901 chars]"
-0.8591,0.204,0.796,0.0,"MANILA—At least 22 people have died from a series of earthquakes that struck Mindanao since Oct. 16, disaster-mitigation officials said Saturday.
Cotabato officials said the provincial death toll is at 15, while South Cotabato and Maguindanao each reported 1… [+448 chars]"
0.0,0.0,1.0,0.0,"Image copyrightLisa VanderpumpImage caption
 Lisa Vanderpump is a well-known celebrity in the US
The BBC's weekly The Boss series profiles different business leaders from around the world. This week we speak to entrepreneur and reality TV star Lisa Vanderpu… [+6601 chars]"
-0.765,0.142,0.858,0.0,"Metro Manila (CNN Philippines, October 19) The death toll has risen to 6 people, with 167 others reported injured after Wednesday nights magnitude 6.3 earthquake that rocked Tulunan, North Cotabato, and nearby towns and provinces.
In its latest report, the N… [+2448 chars]"
0.7351,0.0,0.833,0.167,"MANILA, Philippines, 14 October 2019 The World Health Organization (WHO) and United Nations Childrens Fund (UNICEF) are supporting the Philippine Department of Health (DOH) in the synchronized polio vaccination campaign launched today in Metro Manila, Davao C… [+3544 chars]"
0.3832,0.0,0.945,0.055,"Porsche said that the 4S will come in two battery sizes, 79.2 and 93.4 kWh, and it will deliver more subdued performance and slightly better range than the other Taycan variants. Porsche unveiled the EV in a color called ""frozen blue metallic"" that looks a lo… [+384 chars]"
0.0,0.0,1.0,0.0,"MANILA – A day after the commemoration of World Polio Day, the Department of Health (DOH) reiterated its appeal to parents to have their children vaccinated against the debilitating disease.
In a statement released on Friday, Health Secretary Francisco Duque… [+1679 chars]"
-0.296,0.052,0.948,0.0,"The key reports this week are September New and Existing Home sales.
For manufacturing, the Richmond and Kansas City Fed manufacturing surveys will be released this week.
----- Monday, Oct 21st -----
No major economic releases scheduled.----- Tuesday, Oct … [+1703 chars]"
0.2732,0.0,0.949,0.051,"Mexican firm Sordo Madaleno Arquitectos has released plans for a hotel in Baja California Sur with creature-like concrete suites integrated within a sloping desert.
Luxury resort chain Chablé enlisted the firm to create the resort for a site located north of… [+3478 chars]"
0.0258,0.064,0.87,0.066,"Adobe prend sa part de responsabilité dans l’impact des photos « fakes » photoshopées. About Face permet de diagnostiquer si une photo a été manipulée mais aussi comment et à quel point.Crédits : Adobe Creative Cloud.
Lors de la présentation de ses nombreuse… [+1916 chars]"
-0.2732,0.048,0.952,0.0,"The Department of Health (DOH) confirmed Tuesday another polio case, the fourth since its re-emergence in the Philippines.
The fourth case is from Mindanao. The DOH did not disclose details about the victim. 
The confirmation came after tests performed by t… [+1125 chars]"
0.5106,0.0,0.926,0.074,"THE Health department yesterday confirmed a third case of polio this year after almost two decades since the country was declared free of the disease.
A four-year-old girl from the village of Datu Piang, Maguindanao province in southern Philippines is the th… [+824 chars]"
0.2732,0.0,0.945,0.055,"© Sylvain Mille
+ 45
<ul><li>
Client
Conseil Général de Haute-Garonne / General Council of Haute-Garonne
</li><li>
Cost
10 960 000 / 8,709,375.45 GBP / 14,447,892.73 USD
</li></ul>
More Specs
Less Specs
© Sylvain Mille
The aim was to create a scho… [+2244 chars]"
-0.0516,0.051,0.903,0.046,"MONTREAL -- Quebec Premier Francois Legault said in a news conference yesterday that the vast majority of the 990,000 homes that lost power will have it again by Sunday night.
With power returning to homes, Hydro-Quebec is advising citizens follow certain pr… [+1982 chars]"
0.5574,0.0,0.915,0.085,"The Philippines’ Health Department announced last night that another person has tested positive for polio, making them the fourth confirmed case of the debilitating disease since it resurfaced in the country after an almost 20-year absence.
A statement poste… [+2131 chars]"
0.8176,0.04,0.759,0.201,"We all have that friend that has upcoming Netflix original release dates committed to memory. They're a critic, superfan, and expert binge-watcher all in one, and you know that they can finish the latest season of their favorite show within the first 24 hours… [+4788 chars]"
