compound,name,negative,neutral,positive,ticker
0.9898,REBGLO,0.031,0.647,0.322,ARK
-0.2514,REBGLO,0.059,0.91,0.031,ARK
0.9565,REBGLO,0.008,0.886,0.107,ARK
0.9997,REBGLO,0.042,0.865,0.093,ARK
0.4215,REBGLO,0.01,0.973,0.017,ARK
0.4374,REBGLO,0.0,0.963,0.037,ARK
0.0,REBGLO,0.0,1.0,0.0,ARK
0.4019,REBGLO,0.007,0.974,0.019,ARK
0.9998,REBGLO,0.037,0.865,0.099,ARK
0.9488,REBGLO,0.109,0.741,0.15,ARK
0.9998,REBGLO,0.038,0.828,0.134,ARK
0.9994,REBGLO,0.075,0.839,0.085,ARK
