rank_cnc,Name,Ticker,market_cap,price,volume24,pct1h,pct24h,pct7d,country,platform,pre_ico_end,pre_ico_start,rating,status,type,End,Start,Duration,pre_Duration,compound,negative,neutral,positive,no_of_posts,Longevity,custom_index,custom_index_scaled,success
42, OmiseGO,OMG,"141,224,124",1.01,"90,308,960",-0.97,2.19,1.07,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Trading,ICO,2017-06-23 13:00:00,2017-06-23 12:00:00,0 days 01:00:00.000000000,0 days 00:00:00.000000000,0.7722399999999999,0.038130000000000004,0.85561,0.10620999999999998,100,876,884.7600000000001,0.0007900957072721405,0
47, Augur,REP,"122,772,944",11.16,"9,187,231",-1.84,-3.8,-1.21,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Trading,ICO,2015-10-01 00:00:00,2015-08-17 00:00:00,45 days 00:00:00.000000000,0 days 00:00:00.000000000,0.645049231,0.029615385,0.8837384620000001,0.086723077,65,1507,16818.12,0.015018677019355465,1
48, Algorand,ALGO,"120,996,522",0.279289,"122,140,708",-1.1,-3.2,2.14,United Kingdom,Ethereum,2019-06-30 23:00:00,2019-06-20 00:00:00,4.1,Closed,STO,2019-08-16 23:00:00,2019-07-01 00:00:00,46 days 23:00:00.000000000,10 days 23:00:00.000000000,0.538654902,0.062862745,0.040764706,0.896411765,51,92,25.694588000000003,2.294539704000092e-05,0
50, Bytom,BTM,"114,999,813",0.114713,"22,055,813",-0.53,-3.03,-15.45,China,,2017-09-28 03:00:00,2017-09-28 03:00:00,2.8,Trading,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,-0.004284615,0.017102564,0.014564103,0.968410256,39,779,89.361427,7.980024721565864e-05,0
51, Komodo,KMD,"105,369,052",0.901138,"6,085,548",-0.92,-3.26,28.05,,,2017-09-28 03:00:00,2017-09-28 03:00:00,2.4,Trading,ICO,2016-11-16 00:00:00,2016-10-15 00:00:00,32 days 00:00:00.000000000,0 days 00:00:00.000000000,0.721508333,0.010666667,0.88525,0.10391666699999999,12,1095,986.74611,0.0008811698848993374,0
57, Lisk,LSK,"94,140,985",0.774881,"1,483,633",0.14,2.83,-2.68,Germany,,2017-09-28 03:00:00,2017-09-28 03:00:00,3.1,Trading,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.50785,0.010333333,0.9129999999999999,0.076833333,6,779,603.6322990000001,0.0005390470676407289,0
58, Bitcoin Diamond,BCD,"92,978,461",0.498563,"3,991,166",-0.38,0.87,-3.72,Panama,Ethereum,2018-05-18 23:59:00,2018-04-11 00:00:00,3.7,Closed,ICO,2018-08-27 23:59:00,2018-05-19 00:00:00,100 days 23:59:00.000000000,37 days 23:59:00.000000000,0.340512821,0.060666667,0.030717948999999998,0.908666667,39,446,222.359098,0.00019856792560497556,0
59, DxChain Token,DX,"92,383,225",0.001848,"3,917,206",-0.63,-1.32,60.68,United States of America,Own Blockchain,2017-09-28 03:00:00,2017-09-28 03:00:00,4.8,Closed,ICO,2018-08-06 19:00:00,2018-08-03 19:00:00,3 days 00:00:00.000000000,0 days 00:00:00.000000000,0.515566,0.08071,0.03436,0.8849799999999999,100,467,0.863016,7.706616854459742e-07,0
61, BitTorrent,BTT,"90,924,161",0.000429,"66,369,858",0.01,-1.73,-6.03,,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.9,Closed,ICO,2017-11-15 00:00:00,2017-10-15 00:00:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000,0.966138462,0.035923077000000005,0.834923077,0.12946153800000001,13,731,0.313599,2.800291723576561e-07,0
66, ICON,ICX,"80,706,011",0.159983,"7,499,727",-0.6,-6.35,-10.79,South Korea,,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,ICO,2017-10-21 01:00:00,2017-10-20 12:00:00,0 days 13:00:00.000000000,0 days 00:00:00.000000000,0.722051,0.10235,0.04306,0.8546600000000001,100,756,120.947148,0.00010800647613092057,0
69, Waves,WAVES,"77,132,769",0.768753,"24,543,025",-0.15,-2.04,-5.61,Switzerland,Waves,2017-09-28 03:00:00,2017-09-28 03:00:00,5.0,Trading,ICO,2016-05-31 00:00:00,2016-04-12 00:00:00,49 days 00:00:00.000000000,0 days 00:00:00.000000000,0.637554,0.0394,0.85969,0.10092999999999999,100,1264,971.703792,0.0008677370091728606,0
73, BitShares,BTS,"72,673,535",0.026447,"1,739,231",-0.5,-1.51,-9.72,,Bitshares,2017-09-28 03:00:00,2017-09-28 03:00:00,1.9,Trading,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.6861357140000001,0.117571429,0.038928571,0.843714286,14,779,20.602213,1.839787713465011e-05,0
76, Bytecoin,BCN,"68,182,905",0.000370,"13,997",-5.29,-11.16,-11.81,,,2017-09-28 03:00:00,2017-09-28 03:00:00,1.9,Trading,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,-0.3919,0.046692307999999995,0.059538462,0.893538462,13,779,0.28823000000000004,2.573745107353591e-07,0
