price,country,platform,End,Start,compound,negative,neutral,positive,no_of_posts,success
0.32,Estonia,,5/31/2017 12:00,4/25/2017 12:00,0.09434,0.032,0.9324,0.0356,5,0
0.20,,Ethereum,3/31/2019 0:00,2/16/2019 0:00,0.733514,0.12577,0.04674,0.82746,100,0
20.83,United States of America,Ethereum,9/28/2017 3:00,9/28/2017 3:00,-0.0379,0.0735,0.877,0.0495,2,1
0.00,Lithuania,,2/27/2018 0:00,11/27/2017 0:00,0.3567,0.045666667,0.008333333,0.945666667,3,0
0.04,United States of America,Ethereum,3/10/2018 23:59,2/10/2018 0:00,0.504947,0.08211,0.03109,0.88684,100,0
0.05,United States of America,,3/18/2019 0:00,9/18/2018 0:00,-0.177866667,0.006333333,0.011333333,0.982333333,3,0
0.28,Switzerland,Ethereum,8/4/2017 23:59,7/4/2017 15:00,0.748301,0.0383,0.86154,0.10014,100,0
0.23,France,Ethereum,6/30/2018 0:00,6/1/2018 7:00,0.723549,0.09997,0.02831,0.87174,100,0
20.32,,,9/28/2017 3:00,9/28/2017 3:00,0.9477,0.178,0.018,0.804,1,1
0.00,Estonia,Ethereum,8/19/2018 0:00,7/23/2018 0:00,0.52823,0.09203,0.03798,0.86996,100,0
0.16,United States of America,Ethereum,2/22/2018 0:00,11/24/2017 0:00,0.343957,0.03457,0.01329,0.95214,100,0
0.02,Australia,,9/28/2017 3:00,9/28/2017 3:00,0.995,0.078,0.042,0.88,1,0
0.00,Singapore,Ethereum,5/26/2018 23:59,5/26/2018 0:00,0.9974,0.1355,0.0115,0.853,2,0
0.00,South Korea,Ethereum,9/4/2018 11:00,8/26/2018 11:00,-0.0689,0.016,0.016,0.968,3,0
0.06,,Waves,6/25/2017 12:00,6/1/2017 12:00,-0.8231,0.069,0.91,0.021,1,0
0.36,United Kingdom,Ethereum,5/3/2017 0:00,5/2/2017 0:00,0.503566667,0.009666667,0.972,0.018666667,3,0
0.02,Switzerland,Ethereum,1/30/2018 17:00,12/21/2017 17:00,0.96504,0.1178,0.0162,0.866,5,0
0.03,Singapore,Ethereum,7/31/2018 1:00,7/1/2018 1:00,-0.198733333,0.039666667,0.042666667,0.917666667,3,0
0.00,Australia,Ethereum,11/28/2018 0:00,11/21/2018 0:00,-0.016261111,0.027611111,0.906611111,0.065666667,18,0
0.56,Russia,Ethereum,9/29/2017 12:00,9/13/2017 12:00,0.339255172,0.076896552,0.025931034,0.897103448,29,0
2.30,Russia,Waves,6/9/2017 12:00,5/11/2017 12:00,0.26135,0.0225,0.919,0.0585,2,0
0.00,Gibraltar,,12/15/2017 23:00,11/20/2017 13:00,0.306875,0.050125,0.866625,0.0835,8,0
0.07,Singapore,Ethereum,6/27/2017 14:00,6/27/2017 13:00,0.625296,0.05029,0.84267,0.10697,100,0
0.00,Switzerland,Blockchain,12/22/2017 23:00,11/27/2017 9:00,0.369633333,0.019777778,0.931333333,0.048777778,9,0
0.12,United States of America,Ethereum,9/26/2016 0:00,9/25/2016 0:00,0.260376,0.02819,0.92276,0.04911,100,0
0.00,United States of America,Ethereum,11/27/2017 12:00,11/7/2017 12:00,0.56754058,0.037173913,0.855869565,0.106985507,69,0
0.04,,,9/28/2017 3:00,9/28/2017 3:00,0.500697,0.09031,0.05162,0.85802,100,0
