ticker,compound,negative,neutral,positive,no_of_posts
COIL,0.967866667,0.031,0.87,0.099,3
COP,-0.200907143,0.118,0.798607143,0.083357143,28
COR,0.775551,0.02679,0.85828,0.1149,100
COT,0.78725,0.038,0.9005,0.0615,2
COTI,-0.6486,0.026,0.962,0.011,1
COV,0.131625,0.02225,0.95375,0.024,4
CPAY,0.736066667,0.026666667,0.895666667,0.077666667,3
CPT,0.1419,0.005,0.951333333,0.043666667,3
CPX,0.062768571,0.075114286,0.824171429,0.100714286,35
CQT,0,0,0,0,0
CRD,0.7862,0,0.997,0.003,1
CREA,0.307416667,0.005666667,0.972833333,0.0215,6
CRGO,0,0,0,0,0
CRL,0.7862,0,0.997,0.003,1
CRN,0.9937,0.0435,0.8545,0.102,2
CRS,0.1804375,0.071541667,0.842833333,0.085916667,24
CRTL,0.304376,0.02699,0.9131,0.0599,100
CRYPT,0.548266102,0.02559322,0.888711864,0.085745763,59
CS,0.860309,0.03067,0.86241,0.10686,100
CSNO,0.41325,0.0315,0.84175,0.12675,4
CTF,0.396914706,0.037823529,0.853382353,0.108823529,34
CTKN,0,0,0,0,0
CTN,0.72757,0.05248,0.8306,0.11688,100
CUZ,0.650994444,0.053555556,0.826944444,0.119555556,18
CVC,0.7957,0.0504,0.8253,0.1243,10
CVCOIN,-0.5719,0.023,0.97,0.007,1
CcS,0.7845,0.05,0.86,0.090333333,3
DAC,0.369633333,0.019777778,0.931333333,0.048777778,9
DADI,0.09505,0.01,0.976,0.014,2
DAN,0.461901266,0.039620253,0.872708861,0.087670886,79
DAPG,0,0,0,0,0
DATx,0,0,0,0,0
DCN,0,0,0,0,0
DCT,0.564376404,0.061348315,0.822921348,0.115685393,89
DEAL,0.200258,0.02852,0.93162,0.03973,100
DEB,0.615841,0.0315,0.87847,0.08996,100
DEC,0.250957333,0.0496,0.87568,0.074693333,75
DEED,0.993366667,0.042111111,0.838222222,0.119666667,9
DEEX,-0.4491,0.019,0.973888889,0.006888889,9
DENT,0.681488889,0.044444444,0.858222222,0.097111111,9
DES,0.715536,0.03584,0.85324,0.1109,50
DGD,0.420065,0.03505,0.90115,0.0638,20
DGZ,0,0,0,0,0
DHT,0,0,0,0,0
DIGI,0,0,0,0,0
DIGIT,0.399923,0.03092,0.89473,0.07435,100
DIMND,0,0,0,0,0
DIW,0.486644,0.02498,0.89764,0.07739,100
DLT,0.598152174,0.054782609,0.83826087,0.107,46
