rank_cnc,Name,Ticker,market_cap,price,volume24,pct1h,pct24h,pct7d,country,platform,pre_ico_end,pre_ico_start,rating,status,type,End,Start,Duration,pre_Duration,compound,negative,neutral,positive,no_of_posts,Longevity,success_PCA
333.0, Utrust,UTK,8706877,0.16123800000000002,106,-0.17,-3.76,-1.37,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Trading,ICO,2017-11-20 17:00:00,2017-11-02 17:00:00,8,0,0.00495,0.07400000000000001,0.071,0.8555,2.0,787.0,0
129.0, Bread,BRD,30112341,0.178337,3306097,-0.74,-3.99,0.14,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Trading,ICO,2017-12-23 16:00:00,2017-12-15 12:00:00,3,0,0.615841,0.0315,0.8784700000000001,0.08996,100.0,789.0,0
812.0, Safe Haven,SHA,1321367,0.000236,34922,-5.82,2.76,-10.06,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Closed,ICO,2018-07-30 00:00:00,2018-06-30 00:00:00,18,0,0.631373494,0.048168675,0.8470963859999999,0.10474698800000001,83.0,791.0,0
485.0, GET Protocol,GET,4415366,0.099662,2587477,-0.14,-3.61,-14.65,Netherlands,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,ICO,2017-12-13 12:00:00,2017-11-15 12:00:00,21,0,0.768,0.10300000000000001,0.07400000000000001,0.823,1.0,792.0,0
670.0, Lunyr,LUN,2310234,0.033003,3,-0.54,-1.54,-5.01,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Trading,ICO,2017-04-27 15:00:00,2017-03-29 19:00:00,31,0,0.41325,0.0315,0.84175,0.12675,4.0,792.0,0
1636.0, BitRent,RNTB,50617,0.001204,50969,-3.95,-6.46,-11.27,United Kingdom,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.9,Trading,ICO,2018-03-31 00:00:00,2017-12-01 00:00:00,95,0,0.383569,0.031330000000000004,0.89444,0.07422999999999999,100.0,792.0,0
166.0, Aave,LEND,19720175,0.046810000000000004,795710,0.32,0.74,-3.4,Estonia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.9,Trading,ICO,2017-12-09 12:00:00,2017-11-25 12:00:00,18,0,0.731454,0.034069999999999996,0.85593,0.10998,100.0,793.0,0
153.0, Aragon,ANT,22634711,0.30245700000000003,1261610,-0.55,0.43,0.91,Spain,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Trading,ICO,2017-05-17 13:00:00,2017-05-17 12:00:00,0,0,0.571433333,0.082583333,0.028333333,0.888875,24.0,796.0,0
1096.0, ParallelCoin,DUO,476377,0.018152,32,-0.21,22.16,41.5,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.9,Upcoming,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,30,0,0.594475,0.03,0.86975,0.10025,4.0,797.0,0
1738.0, bitJob,STU,27563,0.0028079999999999997,80,-0.13,-48.31,-56.54,Israel,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Trading,ICO,2017-10-12 15:00:00,2017-09-12 21:00:00,22,0,0.31197600000000003,0.05567999999999999,0.026810000000000004,0.9175399999999999,100.0,797.0,0
1178.0, Blockium,BOK,344002,0.009178,20,-0.21,6.33,3.06,,,2017-09-28 03:00:00,2017-09-28 03:00:00,3.9,Unknown,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,29,0,0.525727,0.08254,0.03355,0.8839600000000001,100.0,800.0,0
