country,platform,pre_ico_end,pre_ico_start,rating,status,Name,type,End,Start,Duration,pre_Duration
Russia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.9,Closed,Votes,ICO,2017-11-03 23:59:59,2017-10-03 00:00:00,31 days 23:59:59.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,Hyperledger,2017-12-15 12:00:00,2017-12-15 12:00:00,3.5,Closed,VIVA Coin,ICO,2017-05-20 12:00:00,2017-05-01 12:00:00,19 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,1.1,Closed,The Legends Room,ICO,2017-05-20 00:00:00,2017-04-18 00:00:00,32 days 00:00:00.000000000,0 days 00:00:00.000000000
Slovenia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.8,Closed,Viberate,ICO,2017-09-05 14:20:00,2017-09-05 14:00:00,0 days 00:20:00.000000000,0 days 00:00:00.000000000
Russia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.3,Closed,Robot Vera,ICO,2017-09-26 16:00:00,2017-09-12 16:00:00,14 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,2.8,Unknown,Veredictum,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.6,Trading,BLOCKv,ICO,2017-10-25 07:00:00,2017-10-19 18:00:00,5 days 13:00:00.000000000,0 days 00:00:00.000000000
United States of America,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,2.4,Closed,Virtual Cash Back,ICO,2017-10-10 23:59:59,2017-07-19 00:00:00,83 days 23:59:59.000000000,0 days 00:00:00.000000000
Switzerland,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.3,Trading,UTRUST,ICO,2017-11-20 17:00:00,2017-11-02 17:00:00,18 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,Omni,2017-12-15 12:00:00,2017-12-15 12:00:00,0.0,Trading,Tether,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.0,Closed,Umbrella Coin,ICO,2017-09-20 00:00:00,2017-08-20 00:00:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,1.9,Trading,Ubiq,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.4,Trading,WeTrust,ICO,2017-04-14 00:00:00,2017-03-02 00:00:00,43 days 00:00:00.000000000,0 days 00:00:00.000000000
Netherlands,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.1,Closed,TribeToken,ICO,2017-08-15 22:00:00,2017-07-24 00:00:00,22 days 22:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,Blockchain,2017-12-15 12:00:00,2017-12-15 12:00:00,1.5,Unknown,Bitgirls,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,Waves,2017-12-15 12:00:00,2017-12-15 12:00:00,0.0,Closed,TomahawkCoin,ICO,2017-08-30 12:00:00,2017-07-30 12:00:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000
Singapore,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.7,Closed,EZMarket,ICO,2017-11-25 10:00:00,2017-10-14 10:00:00,42 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.3,Closed,Polkadot,ICO,2017-10-27 12:00:00,2017-10-15 12:00:00,12 days 00:00:00.000000000,0 days 00:00:00.000000000
Netherlands,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.7,Trading,GUTS Tickets,ICO,2017-12-13 12:00:00,2017-11-15 12:00:00,28 days 00:00:00.000000000,0 days 00:00:00.000000000
Singapore,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.0,Closed,Lydian,ICO,2018-01-29 23:00:00,2017-10-30 00:00:00,91 days 23:00:00.000000000,0 days 00:00:00.000000000
Cambodia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.6,Trading,MicroMoney,ICO,2017-11-16 15:00:00,2017-10-14 15:00:00,33 days 00:00:00.000000000,0 days 00:00:00.000000000
United Kingdom,Ethereum,2018-04-16 00:00:00,2018-04-09 00:00:00,4.4,Closed,CRYX,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,7 days 00:00:00.000000000
Nigeria,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.1,Trading,AbjCoin,ICO,2017-10-31 12:00:00,2017-10-01 12:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
Sweden,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.3,Closed,StockBet,ICO,2017-12-31 14:00:00,2017-10-29 14:00:00,63 days 00:00:00.000000000,0 days 00:00:00.000000000
Panama,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,4.4,Closed,Peerity,ICO,2017-11-30 12:00:00,2017-11-01 13:00:00,28 days 23:00:00.000000000,0 days 00:00:00.000000000
Serbia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.1,Closed,Goal Bonanza,ICO,2017-12-14 15:59:59,2017-11-15 16:00:00,28 days 23:59:59.000000000,0 days 00:00:00.000000000
Switzerland,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.5,Trading,Eidoo,ICO,2017-10-16 22:00:00,2017-10-04 12:00:00,12 days 10:00:00.000000000,0 days 00:00:00.000000000
Estonia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.3,Closed,Zonto World,ICO,2017-10-12 12:00:00,2017-09-12 12:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
Russia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.9,Closed,OpenZen,ICO,2017-11-15 03:00:00,2017-10-15 03:00:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000
United Kingdom,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,2.6,Closed,Ziber,ICO,2017-08-06 12:00:00,2017-07-27 12:00:00,10 days 00:00:00.000000000,0 days 00:00:00.000000000
Israel,Blockchain,2017-12-15 12:00:00,2017-12-15 12:00:00,4.3,Closed,Zen Protocol,ICO,2017-12-30 12:00:00,2017-11-30 12:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,3.0,Trading,Zcash,ICO,2016-10-28 00:00:01,2016-10-28 00:00:00,0 days 00:00:01.000000000,0 days 00:00:00.000000000
United Kingdom,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.4,Closed,Crowdholding,ICO,2018-03-18 00:00:00,2017-11-01 00:00:00,137 days 00:00:00.000000000,0 days 00:00:00.000000000
China,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.1,Trading,Exchange Union,ICO,2017-08-08 12:00:00,2017-08-07 12:00:00,1 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,3.1,Trading,Ripple,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,2.6,Unknown,Monero,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,Blockchain,2017-12-15 12:00:00,2017-12-15 12:00:00,2.8,Trading,LeviarCoin,ICO,2017-06-09 15:00:00,2017-04-07 15:00:00,63 days 00:00:00.000000000,0 days 00:00:00.000000000
Slovenia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.1,Trading,Xaurum Gamma,ICO,2017-09-29 00:00:00,2017-08-01 00:00:00,59 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,0.0,Trading,NEM,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,Bitcoin,2017-12-15 12:00:00,2017-12-15 12:00:00,2.6,Trading,Counterparty,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,Ethereum,2017-11-23 18:00:00,2017-11-19 18:00:00,3.5,Trading,Nitro,ICO,2017-12-26 18:00:00,2017-12-01 18:00:00,25 days 00:00:00.000000000,4 days 00:00:00.000000000
Singapore,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.6,Closed,Lucyd,ICO,2018-02-28 00:00:00,2017-10-31 00:00:00,120 days 00:00:00.000000000,0 days 00:00:00.000000000
Saint Kitts and Nevis,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.1,Trading,The Divi Project,ICO,2017-11-26 00:00:00,2017-10-27 00:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
Slovenia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.3,Closed,VALUS,ICO,2017-11-10 12:00:00,2017-10-13 12:00:00,28 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,2.4,Trading,UQUID Eco System,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
Netherlands,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.4,Trading,Blocktix,ICO,2017-07-25 10:52:15,2017-07-07 23:00:00,17 days 11:52:15.000000000,0 days 00:00:00.000000000
Liechtenstein,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.6,Closed,Swarm Fund,ICO,2017-10-27 12:00:00,2017-10-21 12:00:00,6 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.6,Trading,Refereum,ICO,2017-12-13 00:00:00,2017-11-13 00:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,Ethereum,2017-12-25 15:00:00,2017-12-04 15:00:00,4.4,Trading,REMME,ICO,2018-02-14 20:00:00,2018-02-13 20:00:00,1 days 00:00:00.000000000,21 days 00:00:00.000000000
Switzerland,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.5,Closed,algo.land,ICO,2017-12-10 12:00:00,2017-11-01 12:00:00,39 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.0,Closed,Metal,ICO,2017-06-10 00:00:00,2017-06-09 00:00:00,1 days 00:00:00.000000000,0 days 00:00:00.000000000
Argentina,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.4,Trading,Decentraland,ICO,2017-08-26 18:00:00,2017-08-17 04:00:00,9 days 14:00:00.000000000,0 days 00:00:00.000000000
United States of America,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.3,Trading,Leverj,ICO,2017-12-05 00:00:00,2017-11-07 00:00:00,28 days 00:00:00.000000000,0 days 00:00:00.000000000
Austria,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.5,Closed,HydroMiner,ICO,2017-10-31 00:00:00,2017-10-03 00:00:00,28 days 00:00:00.000000000,0 days 00:00:00.000000000
Russia,Ethereum,2017-09-30 00:00:00,2017-09-01 00:00:00,4.8,Closed,Dogezer,ICO,2018-03-08 00:00:00,2018-02-15 00:00:00,21 days 00:00:00.000000000,29 days 00:00:00.000000000
Switzerland,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.6,Closed,CopPay,ICO,2017-11-30 00:00:00,2017-10-30 00:00:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.6,Trading,BANKEX,ICO,2017-12-28 15:00:00,2017-11-28 03:00:00,30 days 12:00:00.000000000,0 days 00:00:00.000000000
Singapore,Blockchain,2017-12-15 12:00:00,2017-12-15 12:00:00,3.3,Unknown,Ammbr,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
Singapore,Ethereum,2017-11-15 00:00:00,2017-11-01 00:00:00,3.5,Closed,ArtCoin Fund,ICO,2017-12-31 00:00:00,2017-12-01 00:00:00,30 days 00:00:00.000000000,14 days 00:00:00.000000000
2017-12-15T12:00:00Z,Omni,2017-12-15 12:00:00,2017-12-15 12:00:00,1.9,Unknown,Rosecode,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
United Kingdom,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.9,Trading,CryptoPay,ICO,2017-10-30 12:00:00,2017-10-02 12:00:00,28 days 00:00:00.000000000,0 days 00:00:00.000000000
Russia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.3,Closed,Crypto.tickets,ICO,2017-11-05 12:00:00,2017-10-05 12:00:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,2017-12-15T12:00:00Z,2018-01-15 00:00:00,2017-10-23 00:00:00,4.8,Closed,StreamSpace,ICO,2018-02-26 00:00:00,2018-01-15 00:00:00,42 days 00:00:00.000000000,84 days 00:00:00.000000000
Bulgaria,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.9,Trading,LockTrip,ICO,2017-12-15 23:00:00,2017-10-29 12:00:00,47 days 11:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,0.7,Unknown,Bitcoin Lottery,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,1.1,Unknown,Blocksale,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,1.7,Unknown,AxionV,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,1.1,Unknown,FlipCoin,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,1.3,Unknown,ARena Space,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
Singapore,2017-12-15T12:00:00Z,2017-10-18 00:00:00,2017-09-17 00:00:00,3.5,Closed,TripAlly,ICO,2017-11-30 00:00:00,2017-10-18 00:00:00,43 days 00:00:00.000000000,31 days 00:00:00.000000000
India,Ethereum,2017-11-05 00:00:00,2017-10-15 00:00:00,3.0,Closed,ALLOY,ICO,2017-12-25 00:00:00,2017-11-25 00:00:00,30 days 00:00:00.000000000,21 days 00:00:00.000000000
Japan,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.1,Trading,Alis,ICO,2017-09-29 12:00:00,2017-09-01 02:00:00,28 days 10:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,1.7,Unknown,Aldoin,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
Singapore,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.6,Closed,Kript,ICO,2018-04-09 00:00:00,2018-03-09 00:00:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000
Singapore,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.9,Trading,Wandx,ICO,2017-11-22 12:00:00,2017-10-22 12:00:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,Ethereum,2018-02-17 00:00:00,2018-01-17 00:00:00,3.5,Closed,Vaultbank,ICO,2018-03-17 00:00:00,2018-02-17 00:00:00,28 days 00:00:00.000000000,31 days 00:00:00.000000000
United States of America,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.9,Closed,MedCredits,ICO,2018-03-01 00:00:00,2018-01-14 00:00:00,46 days 00:00:00.000000000,0 days 00:00:00.000000000
Russia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.5,Closed,RET,ICO,2017-11-25 12:00:00,2017-11-16 12:00:00,9 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,2.2,Unknown,Greeneum,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
Argentina,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.1,Trading,Flixxo,ICO,2017-11-23 14:00:00,2017-10-24 14:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,1.1,Unknown,BitFlip,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
Estonia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.3,Closed,Eloplay,ICO,2017-11-15 12:00:00,2017-10-16 12:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
United Kingdom,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.9,Closed,Bonpay,ICO,2017-11-28 14:00:00,2017-10-31 14:00:00,28 days 00:00:00.000000000,0 days 00:00:00.000000000
Canada,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.5,Closed,Protos,ICO,2017-11-30 12:00:00,2017-10-31 12:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
Hong Kong,Ethereum,2018-01-07 00:00:00,2017-12-17 00:00:00,4.6,Trading,Gatcoin,ICO,2018-01-28 00:00:00,2018-01-14 00:00:00,14 days 00:00:00.000000000,21 days 00:00:00.000000000
United Kingdom,Ethereum,2018-07-01 00:00:00,2018-06-02 00:00:00,4.6,Closed,Trippki,ICO,2018-08-02 00:00:00,2018-07-02 00:00:00,31 days 00:00:00.000000000,29 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,1.7,Unknown,Shopeo,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
Singapore,Ethereum,2018-05-31 14:00:00,2018-03-21 14:00:00,5.0,Upcoming,Papyrus,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,71 days 00:00:00.000000000
Russia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.3,Closed,ESR Wallet,ICO,2017-10-31 23:55:59,2017-09-25 00:00:00,36 days 23:55:59.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,1.5,Closed,Eros,ICO,2017-07-23 12:00:00,2017-07-09 12:00:00,14 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.5,Unknown,Qchain,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,2.0,Unknown,Equibit,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,1.3,Unknown,Empire Card,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
Ukraine,Ethereum,2018-04-19 17:00:00,2018-04-12 17:00:00,5.0,Closed,DreamTeam,ICO,2018-05-19 17:00:00,2018-04-19 17:00:00,30 days 00:00:00.000000000,7 days 00:00:00.000000000
Kyrgyzstan,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,0.0,Unknown,Daseron,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,1.5,Unknown,DarkSilk,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,0.9,Unknown,NomadCOIN,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,2.4,Unknown,Dome Platform,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,1.3,Unknown,DeClouds,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,1.7,Unknown,DiceyBit,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
Russia,Waves,2017-12-15 12:00:00,2017-12-15 12:00:00,4.3,Closed,DARFChain,ICO,2017-12-23 00:00:00,2017-12-01 00:00:00,22 days 00:00:00.000000000,0 days 00:00:00.000000000
South Africa,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.3,Closed,Wala Financial Platform,ICO,2017-12-11 18:00:00,2017-10-25 12:00:00,47 days 06:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,1.5,Unknown,CostaCoin,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
Bulgaria,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.1,Unknown,Cryptum,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
Estonia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.9,Trading,Crypterium,ICO,2018-01-13 03:59:59,2017-10-31 14:00:00,73 days 13:59:59.000000000,0 days 00:00:00.000000000
Estonia,Ethereum,2018-05-21 00:00:00,2018-05-07 00:00:00,4.8,Closed,Cryptics,ICO,2018-09-24 00:00:00,2018-08-27 00:00:00,28 days 00:00:00.000000000,14 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,2.0,Unknown,CrowdCoin,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,2.0,Unknown,CombiCoin,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,1.5,Unknown,Coinless,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
Ukraine,Ethereum,2017-11-13 00:00:00,2017-10-30 00:00:00,4.1,Closed,CoinDrive,ICO,2018-01-08 00:00:00,2017-12-18 00:00:00,21 days 00:00:00.000000000,14 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,1.7,Unknown,Customizable Basic Income,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
Hong Kong,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.9,Closed,Betrium,ICO,2018-05-14 23:00:00,2018-04-05 23:00:00,39 days 00:00:00.000000000,0 days 00:00:00.000000000
Switzerland,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.6,Trading,Jibrel Network,ICO,2017-12-27 00:00:00,2017-11-27 00:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,1.5,Trading,Jesus Coin,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,1.5,Unknown,InChain,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,1.1,Unknown,Impulse,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
Russia,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,1.5,Unknown,NOVAcool,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
Seychelles,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,2.8,Unknown,HUNT.BET,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
Russia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.1,Unknown,HIPE,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
Russia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,1.7,Closed,Hedge.pro,ICO,2017-12-13 23:00:00,2017-11-13 00:00:00,30 days 23:00:00.000000000,0 days 00:00:00.000000000
