country,platform,pre_ico_end,pre_ico_start,rating,status,Name,type,End,Start,Duration,pre_Duration
Belize,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.3,Trading,Aeron,ICO,2017-10-31 06:00:00,2017-09-19 03:00:00,42 days 03:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,2.0,Trading,Ark,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,Blockchain,2017-12-15 12:00:00,2017-12-15 12:00:00,1.5,Unknown,AppTrade,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
Spain,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,2.8,Trading,Aragon,ICO,2017-05-17 13:00:00,2017-05-17 12:00:00,0 days 01:00:00.000000000,0 days 00:00:00.000000000
China,NEO,2017-12-15 12:00:00,2017-12-15 12:00:00,3.5,Trading,Antshares,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
Israel,Omni,2017-12-15 12:00:00,2017-12-15 12:00:00,3.5,Trading,Synereo,ICO,2016-10-18 00:00:00,2016-09-18 00:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
Switzerland,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.4,Trading,Ambrosus,ICO,2017-10-13 03:00:00,2017-09-13 03:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
Switzerland,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,2.4,Unknown,Akasha,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,3.5,Trading,Compcoin,ICO,2017-07-30 23:59:59,2017-06-14 00:00:00,46 days 23:59:59.000000000,0 days 00:00:00.000000000
Estonia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.4,Closed,CoinLoan,ICO,2018-02-14 14:00:00,2017-11-26 14:00:00,80 days 00:00:00.000000000,0 days 00:00:00.000000000
Canada,Blockchain,2017-12-15 12:00:00,2017-12-15 12:00:00,3.9,Closed,Crypto Improvement Fund,ICO,2018-01-01 17:00:00,2017-10-01 17:00:00,92 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,Waves,2017-12-15 12:00:00,2017-12-15 12:00:00,3.1,Closed,Cryptogene,ICO,2017-10-24 12:00:00,2017-09-24 12:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
Slovenia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,0.0,Trading,Cofound.it,ICO,2017-07-05 18:00:00,2017-06-07 18:00:00,28 days 00:00:00.000000000,0 days 00:00:00.000000000
Israel,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.1,Trading,CoinDash,ICO,2017-08-17 18:00:00,2017-07-17 18:00:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000
Russia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.3,Trading,Cash Poker Pro,ICO,2017-11-18 12:00:00,2017-10-26 12:00:00,23 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.4,Trading,Crypto20,ICO,2017-12-05 23:00:00,2017-10-07 18:00:00,59 days 05:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,2.0,Trading,Byteball,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,2.6,Closed,Redemption Technologies,ICO,2017-12-07 12:00:00,2017-11-07 12:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.9,Closed,Battle of Titans,ICO,2017-11-15 00:00:00,2017-10-15 00:00:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,Bitshares,2017-12-15 12:00:00,2017-12-15 12:00:00,1.9,Trading,BitShares,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,2.2,Closed,BETNetwork,ICO,2017-09-30 12:00:00,2017-08-01 00:00:00,60 days 12:00:00.000000000,0 days 00:00:00.000000000
Singapore,Ethereum,2018-03-30 03:09:00,2018-03-26 03:09:00,3.9,Closed,Berith,ICO,2018-04-27 03:09:00,2018-04-11 03:09:00,16 days 00:00:00.000000000,4 days 00:00:00.000000000
United States of America,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.3,Trading,Bitquence,ICO,2017-07-16 03:00:00,2017-06-28 08:00:00,17 days 19:00:00.000000000,0 days 00:00:00.000000000
United Kingdom,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,3.7,Trading,Blockpool,ICO,2017-06-30 12:00:00,2017-05-01 12:00:00,60 days 00:00:00.000000000,0 days 00:00:00.000000000
Italy,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.0,Closed,Boulé,ICO,2017-11-25 12:00:00,2017-10-25 12:00:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000
South Korea,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,4.3,Trading,BOScoin,ICO,2017-05-10 20:00:00,2017-05-10 01:00:00,0 days 19:00:00.000000000,0 days 00:00:00.000000000
Hong Kong,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,2.0,Unknown,bitNatura,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
Canada,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,2.4,Unknown,Branche,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
