,Compound,Negative,Neutral,Positive
 FirstBlood,0.248458,0.03186,0.8396399999999998,0.12847999999999998
 Storm,-0.039583999999999994,0.07268000000000002,0.8737400000000002,0.053579999999999996
 Force Protocol,0.042725999999999986,0.029880000000000004,0.9206399999999999,0.049479999999999996
 Contentos,-0.06426199999999999,0.014080000000000002,0.98592,0.0
 Quantum Resis...,,,,
 CasinoCoin,0.200028,0.040060000000000005,0.8311800000000001,0.12869999999999998
 Aencoin,0.4177666666666667,0.0,0.8758333333333335,0.12416666666666666
 Blox,0.010430000000000002,0.05684,0.8791199999999999,0.06405999999999999
 Blackmoon,0.020981999999999997,0.0072,0.96266,0.03016
 Utrust,-0.08413399999999999,0.05494000000000002,0.9118200000000001,0.03322
 Achain,0.5323939999999999,0.0,0.8083000000000007,0.1917
 adToken,0.054084,0.010660000000000001,0.9652999999999998,0.024040000000000002
 Streamr DATAcoin,0.20095,0.0,0.9610000000000001,0.039
 Gifto,0.11891799999999998,0.03986,0.847,0.11314
 Bitrue Coin,0.00251,0.00392,0.99452,0.00156
 Everex,0.021834,0.017939999999999998,0.9632999999999998,0.01876
 Origo,-0.011437999999999999,0.00196,0.99804,0.0
 Perlin,-0.014475999999999996,0.04118,0.9309199999999999,0.0279
 Aergo,0.125902,0.008839999999999999,0.9189599999999999,0.0722
 GoChain,0.024405999999999997,0.08732,0.8286199999999998,0.08413999999999999
 AdEx,-0.0055320000000000065,0.044219999999999995,0.89558,0.060180000000000004
 Dusk Network,0.106844,0.06871999999999998,0.8205000000000002,0.11079999999999998
 Incent,-0.006607999999999999,0.00536,0.9886199999999999,0.006020000000000001
 CyberVein,,,,
 TaaS,0.012382000000000011,0.06742000000000001,0.8703600000000001,0.062220000000000004
 Bluzelle,0.26023829787234043,0.0029999999999999996,0.8660000000000001,0.13100000000000003
 Contents Prot...,,,,
 Dropil,0.32529,0.01532,0.8532400000000001,0.13144
 CommerceBlock,0.210238,0.00732,0.86738,0.12528000000000003
 Insolar,0.078926,0.02012,0.9315599999999999,0.04832
 Kin,0.03950200000000001,0.0125,0.96332,0.0242
 Darico Ecosys...,,,,
 NaPoleonX,0.0,0.0,1.0,0.0
 BlackCoin,0.16177,0.0,0.9327599999999999,0.06724000000000001
 Litex,0.22036599999999995,0.024000000000000004,0.8820199999999998,0.09397999999999998
 Eligma Token,0.0708074074074074,0.0,0.9821481481481482,0.01785185185185185
 Nucleus Vision,0.8909999999999989,0.0,0.5470000000000004,0.4529999999999997
 SingularDTV,0.04940714285714284,0.042499999999999996,0.9112142857142859,0.046285714285714284
 Restart Energ...,,,,
 BABB,0.20069800000000002,0.03682,0.84104,0.12215999999999998
 ChainX,0.342788,0.02336,0.8060799999999999,0.17054000000000005
 DMarket,0.0,0.0,1.0,0.0
 Metronome,0.025274,0.04891999999999999,0.90986,0.04118
 Monetha,0.26338,0.0183,0.8883000000000001,0.0935
 Digix Gold Token,0.01330714285714286,0.037142857142857144,0.920214285714286,0.04264285714285714
 Dock,0.022364000000000002,0.01494,0.9635000000000001,0.02154
 Odyssey,0.18646199999999993,0.032799999999999996,0.88524,0.08193999999999999
 Flash,0.09677,0.03998,0.8970599999999999,0.06304
 SONM,0.097308,0.030440000000000002,0.8937199999999998,0.07584000000000002
 DAO.Casino,0.00891,0.00358,0.9899400000000002,0.0064800000000000005
 DeepBrain Chain,0.1048962962962963,0.0,0.9560740740740741,0.04392592592592592
 Genesis Vision,0.22243,0.01594,0.8855800000000004,0.09848000000000007
 doc.com Token,0.7163,0.0,0.74,0.26
 SwissBorg,0.38594199999999995,0.0016,0.8581799999999997,0.14021999999999996
 ContentBox,0.41797692307692313,0.0038461538461538464,0.8416153846153845,0.15461538461538463
 WePower,0.42061200000000004,0.012420000000000002,0.8433799999999999,0.14422
 Jibrel Network,,,,
 Travala.com,0.4030319999999999,0.0068000000000000005,0.8418800000000002,0.15131999999999995
 GET Protocol,0.16857399999999995,0.031319999999999994,0.8851600000000005,0.0834
 Sense,0.082932,0.07674,0.8088200000000001,0.11440000000000003
 IPChain,0.0,0.0,1.0,0.0
 Cashaa,0.069018,0.006920000000000001,0.9608200000000001,0.03226
 Emercoin,0.56472,0.0,0.7408999999999999,0.2591
 Krios,0.33564200000000005,0.01944,0.8225199999999997,0.15805999999999998
 BOLT,0.19168599999999997,0.057479999999999996,0.8244999999999999,0.11787999999999997
 SIRIN LABS Token,-0.19440000000000002,0.0505,0.8625,0.087
 Lympo,0.37816999999999995,0.005660000000000001,0.7772600000000002,0.2170799999999999
 Agrello,-0.06785500000000001,0.06104999999999999,0.9311,0.00785
 DATA,-0.03678800000000001,0.043960000000000006,0.9091599999999999,0.04686
 Edge,0.14728599999999997,0.03794,0.8670600000000003,0.09500000000000001
 BitMart Token,0.6026954545454543,0.0034545454545454545,0.7919090909090911,0.20463636363636362
 district0x,0.21183999999999997,0.0181,0.9152,0.06670000000000002
 Aeon,0.0,0.0,1.0,0.0
 Neumark,0.009197999999999998,0.061640000000000014,0.861,0.07738
 Infinitus Token,,,,
 Aeron,0.11455799999999998,0.03174,0.9140399999999999,0.05422
 AirSwap,0.088292,0.01818,0.9360599999999998,0.045759999999999995
 AppCoins,0.06921025641025642,0.02197435897435897,0.9280512820512821,0.05002564102564102
 DAOstack,0.24514999999999992,0.01652,0.8731800000000001,0.11026000000000001
 Blockmason Cr...,,,,
 Refereum,0.39354600000000006,0.01914,0.8341200000000001,0.14674000000000004
 BLOCKv,-0.09303199999999996,0.10630000000000002,0.77988,0.11385999999999999
 AIDUS TOKEN,0.128,0.0,0.9405,0.0595
 Etherparty,0.05666666666666667,0.0,0.9721666666666667,0.027833333333333335
 AMO Coin,0.03540909090909092,0.012681818181818183,0.9735909090909091,0.013681818181818182
 Ecobit,0.0,0.0,1.0,0.0
 Credit Tag Chain,,,,
 Endor Protocol,0.4019,0.064,0.807,0.13
 Game.com,0.010989999999999998,0.00664,0.98504,0.008320000000000001
 BOScoin,-0.6486,0.202,0.798,0.0
 INLOCK,0.2866411764705883,0.02717647058823529,0.8508823529411764,0.12194117647058823
 Genaro Network,-0.06575000000000002,0.04975,0.9105,0.03975
 Etheroll,0.3999181818181819,0.011,0.7736363636363636,0.2153636363636364
 Bottos,0.067488,0.038700000000000005,0.8948599999999998,0.06624
 Lykke,0.098778,0.015499999999999998,0.9268400000000001,0.05766
 ShipChain,0.20893400000000006,0.025680000000000005,0.88304,0.0913
 Global Crypto...,0.15897000000000003,0.0054600000000000004,0.9140799999999999,0.08046000000000002
 Swarm,0.07045200000000003,0.08973999999999999,0.7929000000000002,0.11720000000000003
 Caspian,0.19114799999999996,0.019819999999999997,0.8744799999999999,0.10568000000000001
 Change,0.11229399999999998,0.05224,0.8475,0.10026
 Chromia,0.4481339999999999,0.0183,0.8273600000000002,0.15429999999999996
 BitNewChain,,,,
 IQeon,0.3261545454545455,0.0,0.8966363636363636,0.10336363636363637
 Feathercoin,0.40631,0.00146,0.8695399999999998,0.12899999999999998
 Peerplays,0.335938,0.01474,0.8225200000000004,0.16270000000000004
 XYO,0.11614000000000001,0.0074,0.91826,0.07433999999999999
 Gold Bits Coin,0.03334999999999999,0.0485,0.875,0.0765
 Omnitude,0.0,0.0,1.0,0.0
 Hubii Network,,,,
 BlockStamp,0.6319899999999997,0.00428,0.7792800000000006,0.21644000000000002
 Wings,0.110458,0.03926,0.8822,0.07856
 Cryptocean,0.0,0.0,1.0,0.0
 HBZ coin,0.5972,0.0,0.864,0.136
 ATLANT,0.006417999999999999,0.0054800000000000005,0.9824199999999998,0.0121
 CryptalDash,0.23671666666666666,0.0335,0.8035,0.163
 Abyss Token,0.010509999999999999,0.0,0.99848,0.0015199999999999999
 BitDice,0.0,0.0,1.0,0.0
 Lunyr,,,,
 MVL,0.045376,0.00916,0.9676999999999998,0.023139999999999997
 Remme,0.046054,0.06930000000000001,0.83422,0.09652000000000001
 HashBX,-0.296,0.071,0.929,0.0
 Brickblock,0.093698,0.0059,0.9531200000000001,0.04094
 Primas,-0.01184,0.00392,0.9960799999999999,0.0
 Insights Network,0.3926140000000001,0.00308,0.8634200000000003,0.1335
 Own,0.30181,0.041720000000000014,0.8088799999999998,0.14937999999999996
 Smartlands,0.20288799999999999,0.01022,0.9253600000000003,0.06442
 Maecenas,-0.0024640000000000083,0.053759999999999995,0.8803400000000002,0.0659
 MultiVAC,0.23148599999999997,0.0007000000000000001,0.9126400000000001,0.08665999999999999
 CPChain,0.3673900000000001,0.0,0.8874999999999996,0.11249999999999996
 MARK.SPACE,0.18853870967741934,0.029516129032258066,0.8682903225806454,0.10216129032258069
 indaHash,0.12843636363636363,0.03043181818181818,0.8965,0.07306818181818181
 ParkinGo,-0.09276000000000001,0.0732,0.9008,0.026000000000000002
 Unibright,0.28296399999999994,0.0,0.8984799999999997,0.10151999999999997
 BANKEX,0.247006,0.0033399999999999997,0.9165799999999998,0.08007999999999998
 Apex,0.028248,0.0023599999999999997,0.9817599999999999,0.015880000000000002
 DaTa eXchange,0.151516,0.01644,0.9096,0.07397999999999999
 Gene Source C...,0.0,0.0,1.0,0.0
 Cryptopay,0.12484545454545454,0.017795454545454545,0.9308409090909091,0.05136363636363636
 Business Cred...,0.11843599999999997,0.04,0.8779800000000002,0.08204
 Color Platform,0.024099999999999993,0.05572000000000001,0.8714000000000002,0.07283999999999997
 Lendingblock,0.0,0.0,1.0,0.0
 Ink,0.10959600000000001,0.035500000000000004,0.8708800000000001,0.09359999999999999
 Bismuth,0.15387400000000004,0.02012,0.91132,0.06860000000000001
 DEEX,0.061720000000000004,0.02238,0.9183400000000002,0.05930000000000001
 Insureum,0.05067999999999999,0.0496,0.86,0.0904
 Primalbase Token,,,,
 0Chain,0.33635217391304345,0.03282608695652174,0.8445217391304347,0.12265217391304346
 NAGA,-0.032682,0.0261,0.95518,0.01872
 1SG,-0.020492000000000007,0.061880000000000004,0.8771800000000001,0.06094
 3DCoin,0.087344,0.0,0.91066,0.08934000000000002
 DreamTeam Token,0.20977272727272728,0.015363636363636362,0.9100909090909091,0.07445454545454545
 Merculet,,,,
 GMB,0.32562,0.032560000000000006,0.8372800000000001,0.13016
 Kryll,0.08699399999999999,0.0212,0.9070199999999999,0.07178
 MobileGo,0.21016666666666664,0.0,0.8829166666666666,0.11708333333333333
 DECENT,0.20391799999999996,0.06103999999999998,0.8043400000000002,0.13464
 Covesting,-0.019589999999999965,0.08632000000000001,0.8271400000000001,0.08656000000000001
 CashBet Coin,,,,
 ALIS,0.026828000000000005,0.012199999999999999,0.96122,0.02658
 LikeCoin,0.009024324324324323,0.011378378378378379,0.9550810810810811,0.033540540540540544
 HashCoin,0.0,0.0,1.0,0.0
 Colu Local Ne...,,,,
 Ubex,0.2589720000000001,0.01138,0.81364,0.17497999999999994
 ELA Coin,-0.05390000000000002,0.06073333333333333,0.8942666666666667,0.045
 Coinsuper Eco...,,,,
 KickToken,0.49241999999999997,0.0224,0.8304,0.14679999999999999
 Safe Haven,-0.06284600000000001,0.15347999999999995,0.7006999999999999,0.14558
 Grid+,0.05015,0.0454,0.8915599999999999,0.06303999999999998
 BOOM,0.05043800000000001,0.007660000000000001,0.9610599999999997,0.03128
 Mindexcoin,-0.074,0.04175,0.95825,0.0
 Happycoin,,,,
 Bitcoin Confi...,0.3612,0.0,0.921,0.079
 Medicalchain,0.23140555555555553,0.026833333333333327,0.8681388888888889,0.10505555555555557
 COTI,0.159924,0.00872,0.94062,0.05066
 DAEX,0.029896000000000002,0.01874,0.94526,0.036
 CEEK VR,0.3899,0.0,0.857,0.143
 EncrypGen,0.16588999999999998,0.02158,0.88078,0.09766000000000002
 Chronobank,0.19681666666666672,0.044000000000000004,0.86725,0.08875000000000001
 Enecuum,0.24759599999999998,0.014199999999999999,0.78274,0.20306000000000002
 CoinPoker,0.32265897435897445,0.013384615384615385,0.842923076923077,0.14369230769230767
 BonusCloud,0.0,0.0,1.0,0.0
 Azbit,0.06952758620689657,0.03055172413793103,0.9244482758620689,0.045
 Eden,0.008186,0.02304,0.9486000000000001,0.028360000000000003
 Edgeless,-0.09410599999999997,0.11176000000000003,0.8006,0.0876
 Friendz,0.05446400000000001,0.05741999999999999,0.82176,0.12081999999999998
 Optimal Shelf...,0.1543142857142857,0.06414285714285714,0.8105714285714285,0.1252857142857143
 Datum,-0.004807999999999995,0.020719999999999995,0.9493999999999997,0.02988
 Beaxy,-0.017835999999999994,0.023859999999999996,0.9601,0.016
 Mysterium,0.205072,0.01758,0.8961999999999998,0.08622
 Humaniq,0.25022727272727274,0.031045454545454546,0.9115000000000001,0.05745454545454545
 NeuroChain,0.22754,0.0,0.9166000000000001,0.0834
 CargoX,0.36173181818181815,0.0,0.8484090909090909,0.15159090909090908
 Bloom,-0.13235600000000003,0.10383999999999999,0.86146,0.03468
 Moneytoken,0.18528000000000003,0.1358,0.7386,0.1256
 Global Awards...,0.7705200000000001,0.00196,0.6453399999999999,0.35267999999999994
 EBCoin,,,,
 UNIVERSAL CASH,-0.2261079999999999,0.10493999999999999,0.8517399999999999,0.04332
 Dignity,0.303214,0.09939999999999999,0.7080799999999999,0.19252000000000005
 Hiveterminal ...,0.3377925,0.008725,0.8644999999999999,0.12677500000000003
 ADAMANT Messe...,,,,
 Blockchain Ce...,0.010285999999999995,0.020059999999999998,0.9551399999999998,0.024800000000000003
 BridgeCoin,0.3825,0.0215,0.8945000000000001,0.0835
 DecentBet,0.5582,0.0,0.7769999999999999,0.22299999999999998
 CanYaCoin,0.22499523809523808,0.024714285714285716,0.859952380952381,0.11533333333333336
 Conceal,0.20023600000000005,0.06720000000000001,0.8108200000000001,0.12200000000000003
 Typerium,0.15536800000000003,0.005639999999999999,0.9459400000000001,0.0484
 Blockport,0.22003636363636367,0.04672727272727273,0.8159090909090909,0.13736363636363638
 SophiaTX,0.0,0.0,1.0,0.0
 FintruX Network,,,,
 Stox,0.18481999999999998,0.029340000000000005,0.8721599999999999,0.09848000000000001
 Cloudbric,0.26611666666666667,0.037333333333333336,0.8446666666666666,0.118
 DomRaider,0.0,0.0,1.0,0.0
 Aventus,0.134112,0.029220000000000003,0.89936,0.07142
 Atlantis Blue...,0.21796000000000004,0.01224,0.93048,0.0573
 Iconiq Lab Token,,,,
 Cardstack,0.07392499999999999,0.0,0.9771249999999999,0.022875
 GoldCoin,0.06497200000000002,0.01018,0.9539599999999999,0.03586
 SPINDLE,0.021547999999999998,0.007420000000000001,0.98092,0.011659999999999998
 HOLD,0.09638600000000007,0.06990000000000002,0.8205600000000001,0.10940000000000001
 Auroracoin,-0.17020000000000002,0.08800000000000001,0.9119999999999999,0.0
 FLIP,0.022702,0.06926,0.8668799999999999,0.06388
 Thrive Token,0.40956666666666663,0.058666666666666666,0.8126666666666668,0.12866666666666668
 Amon,-0.057768,0.03246,0.96254,0.005
 Vetri,0.249466,0.00798,0.8994800000000001,0.09254
 Paragon,-0.064776,0.04258000000000001,0.9374800000000001,0.01994
 Faceter,-0.123675,0.1195,0.853,0.0275
 CoinUs,-0.0008523809523809352,0.10361904761904765,0.7563333333333334,0.1400952380952381
 Bittwatt,0.2854285714285714,0.028714285714285716,0.8485714285714285,0.12271428571428573
 Hacken,-0.165784,0.07893999999999998,0.8969599999999999,0.024099999999999996
 Bounty0x,0.1468,0.0,0.9596666666666667,0.04033333333333333
 CryptoPing,,,,
 TraDove B2BCoin,0.20324,0.0,0.9272,0.0728
 Pesetacoin,,,,
 Vision Indust...,,,,
 CoinFi,0.20693809523809523,0.024666666666666667,0.9110476190476193,0.06428571428571428
 BitDegree,0.22205200000000003,0.0,0.8734599999999998,0.12653999999999999
 Mallcoin,,,,
 Birake,0.05345624999999998,0.04731250000000001,0.9111874999999999,0.0415
 Electrify.Asia,,,,
 IXT,0.015424,0.0,0.99482,0.005180000000000001
 Rivetz,0.0,0.0,1.0,0.0
 ParallelCoin,0.4383,0.0275,0.8145,0.15775
 Ferrum Network,0.2896999999999999,0.00178,0.8902199999999998,0.10800000000000004
 Patientory,0.6196166666666666,0.0,0.7942499999999999,0.20575
 ATMChain,,,,
 Essentia,0.030380000000000008,0.08295999999999999,0.8347999999999998,0.08222
 Flixxo,-0.03192222222222222,0.05277777777777778,0.8925555555555555,0.05466666666666667
 Vezt,0.12354999999999998,0.008531249999999999,0.935875,0.055593750000000004
 DCORP Utility,,,,
 Hero,0.3648519999999999,0.01524,0.8397600000000002,0.14498
 Gems,0.15214799999999998,0.0209,0.89604,0.08308
 MinexCoin,0.058199999999999995,0.1668,0.7198,0.11340000000000001
 TV-TWO,0.6844,0.0,0.7524,0.2476
 Birdchain,0.24089565217391307,0.0,0.9308695652173913,0.06913043478260869
 Shivom,0.060256,0.014300000000000002,0.94676,0.03898000000000001
 Eristica,-0.04501999999999999,0.022760000000000002,0.96486,0.012360000000000003
 Ubcoin Market,,,,
 PHI Token,0.12066999999999999,0.0,0.9512,0.0488
 Globatalent,0.146,0.0028541666666666667,0.9533541666666667,0.0438125
 Playkey,0.3323090909090909,0.0,0.8699090909090909,0.1300909090909091
 Indorse Token,0.35250000000000004,0.0,0.8475384615384615,0.15246153846153845
 Blockium,0.19872857142857142,0.0,0.8897142857142857,0.11028571428571429
 JET8,0.20476,0.003,0.9227000000000001,0.07430000000000002
 ATN,0.016967999999999997,0.00358,0.9788,0.01762
 Tokes,0.16129200000000005,0.049100000000000005,0.8351000000000001,0.11577999999999995
 CoTrader,0.0716344827586207,0.0727241379310345,0.8378275862068966,0.08951724137931034
 FlypMe,0.3057,0.0,0.917,0.083
 Devery,0.11942799999999996,0.10558000000000002,0.7016800000000001,0.19276
 HOQU,0.1212375,0.0,0.960875,0.039125
 Crowd Machine,0.15430999999999986,0.061439999999999995,0.8375000000000001,0.10106000000000001
 Bezop,0.6382159999999997,0.056800000000000024,0.7087399999999993,0.23446000000000009
 Eroscoin,0.0,0.0,1.0,0.0
 EnergiToken,0.3058666666666667,0.0,0.8921666666666667,0.10783333333333334
 adbank,0.2911529411764706,0.029529411764705884,0.8580588235294118,0.11235294117647059
 Bigbom,0.0,0.0,1.0,0.0
 BitScreener T...,,,,
 CYBR Token,-0.01714999999999996,0.09633333333333333,0.798,0.1055
 Storiqa,0.25534545454545454,0.020000000000000004,0.909090909090909,0.07081818181818181
 Jarvis+,0.059711999999999994,0.04184,0.88062,0.07752
 Zetacoin,0.10115,0.0,0.9465,0.0535
 Verify,0.06522599999999999,0.05252000000000002,0.8680599999999999,0.07941999999999999
 Bayan Token,,,,
 Aditus,0.007934000000000002,0.0055000000000000005,0.98646,0.00804
 FortKnoxster,0.3201875,0.0189375,0.85725,0.1238125
 Cobinhood,0.3600272727272727,0.0,0.8689090909090909,0.1310909090909091
 Equal,0.24956599999999995,0.028780000000000007,0.86248,0.10872
 On.Live,-0.6426079999999997,0.2627,0.7192399999999999,0.0181
 Coinchase Token,,,,
 GoPower,0.048826666666666664,0.0342,0.9086666666666667,0.057199999999999994
 View,0.0999,0.0219,0.92086,0.05723999999999999
 Privatix,-0.022769230769230767,0.020615384615384615,0.9793846153846153,0.0
 EXMR,0.4383599999999999,0.03181999999999999,0.8021799999999996,0.16599999999999998
 BioCoin,0.0,0.0,1.0,0.0
 HyperSpace,0.05908200000000001,0.0493,0.8779799999999999,0.07273999999999999
 Suretly,,,,
 ClearPoll,0.05781111111111111,0.020888888888888887,0.9447777777777778,0.03433333333333333
 BUZZCoin,0.2885071428571428,0.0,0.9254285714285713,0.07457142857142858
 Dether,0.11267,0.005,0.9383000000000001,0.0567
 Asgard,0.156792,0.029859999999999998,0.8703999999999997,0.09973999999999998
 Soma,0.0,0.0,1.0,0.0
 Invacio,0.29895999999999967,0.0,0.8920799999999993,0.10791999999999997
 Atonomi,-0.13935,0.09375,0.90625,0.0
 CryCash,,,,
 IOTW,0.4326540000000001,0.06222,0.7445800000000001,0.19310000000000002
 DeviantCoin,0.20874117647058826,0.0021764705882352945,0.8954117647058824,0.10241176470588235
 Giant,-0.11665000000000003,0.10078000000000001,0.8150199999999996,0.08418
 SyncFab,0.27655624999999995,0.00396875,0.8800937499999998,0.11593749999999999
 UChain,0.4215,0.0,0.882,0.118
 Starbase,0.22606600000000004,0.04834000000000001,0.7342800000000002,0.21744
 EncryptoTel [...,0.12726666666666667,0.0,0.96,0.04
 HeroNode,,,,
 DIMCOIN,0.0,0.0,1.0,0.0
 FidentiaX,,,,
 MetaMorph,0.021585999999999998,0.011320000000000002,0.9692799999999998,0.01936
 Matchpool,-0.004,0.010333333333333333,0.9798333333333332,0.01
 GoldFund,0.17144444444444445,0.03233333333333333,0.911,0.05666666666666667
 Bitstar,0.0,0.0,1.0,0.0
