rank_cnc,Name,Ticker,market_cap,price,volume24,pct1h,pct24h,pct7d,country,platform,pre_ico_end,pre_ico_start,rating,status,type,End,Start,Duration,pre_Duration,compound,negative,neutral,positive,no_of_posts,Longevity,Success_Index
2358.0, ALLCOIN,ALC,0,0.00045999999999999996,0,0.0,0.0,0.0,,,2017-09-28 03:00:00,2017-09-28 03:00:00,4.8,Closed,ICO,2018-08-31 00:00:00,2018-06-15 00:00:00,118,0 days 00:00:00.000000000,0.8381647059999999,0.127294118,0.032411765,0.840470588,17.0,20.0,82.76608
1753.0, BitGuild PLAT,PLAT,25741,0.000784,0,0.0,0.0,-65.2,Cayman Islands,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Closed,ICO,2018-04-06 06:59:59,2018-03-16 00:33:33,92,0 days 00:00:00.000000000,0.9509,0.059000000000000004,0.049,0.892,1.0,76.0,-640.7037
48.0, Bytom,BTM,120996522,0.279289,122140708,-1.1,-3.2,2.14,China,,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Trading,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,46,0 days 00:00:00.000000000,0.538654902,0.062862745,0.040764706,0.896411765,51.0,92.0,12429168.0
851.0, Eden,EDN,1153784,1.6e-05,188113,-1.13,-8.91,-9.87,Virgin Islands (British),Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Closed,ICO,2018-05-25 00:00:00,2018-05-24 00:00:00,211,0 days 00:00:00.000000000,0.547588889,0.073222222,0.025888888999999998,0.900666667,9.0,139.0,-2542.582
1356.0, Soma,SCT,171449,0.000221,20214,0.09,-1.82,-7.99,Finland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,ICO,2017-11-14 12:00:00,2017-09-27 12:00:00,90,0 days 00:00:00.000000000,0.7603,0.02,0.005,0.9740000000000001,1.0,139.0,-1379.1411
1039.0, Hacken,HKN,558260,0.001818,314,-37.25,-69.5,-3.91,Russia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Trading,ICO,2017-11-30 12:00:00,2017-10-31 12:00:00,65,0 days 00:00:00.000000000,0.2263,0.006,0.0,0.9940000000000001,1.0,147.0,-12499.164
2085.0, Tesra,TSR,0,0.001088,424036,0.09,-2.54,-4.08,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Closed,ICO,2018-05-28 00:00:00,2018-03-05 00:00:00,14,0 days 00:00:00.000000000,0.501907,0.07946,0.034260000000000006,0.88633,100.0,154.0,52476.23
834.0, DAEX,DAX,1224336,0.008369,13863965,1.13,3.5,5.8,,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,5.0,Trading,ICO,2018-09-15 00:00:00,2018-09-09 00:00:00,10,0 days 00:00:00.000000000,-0.6486,0.026000000000000002,0.9620000000000001,0.011000000000000001,1.0,155.0,1690543.6
2059.0, StarChain,STC,0,1.02,1972607,1.91,-15.95,-13.21,,Ethereum,2018-03-31 08:00:00,2018-01-22 08:00:00,4.8,Closed,ICO,2018-07-17 08:00:00,2018-06-17 08:00:00,150,68 days 00:00:00.000000000,0.600258,0.0917,0.042769999999999996,0.86554,100.0,169.0,244350.14
1230.0, Bezop,BEZ,285662,0.000608,10465,-0.16,-2.62,-20.19,,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Trading,ICO,2018-01-10 00:00:00,2017-12-20 00:00:00,389,0 days 00:00:00.000000000,0.26408899999999996,0.05583,0.8528399999999999,0.09131,100.0,178.0,-5176.6997
1373.0, DeviantCoin,DEV,161166,0.0048460000000000005,125910,-0.06,16.83,13.57,Thailand,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Closed,ICO,2018-03-30 23:59:59,2018-02-16 00:00:00,42,0 days 00:00:00.000000000,0.15175,0.0055,0.9855,0.009000000000000001,2.0,188.0,11957.852
801.0, Colu Local Ne...,CLN,1373986,0.00010700000000000001,1611,-0.1,-4.2,-4.74,Gibraltar,Ethereum,2018-01-17 00:00:00,2017-11-02 00:00:00,4.3,Closed,ICO,2018-02-18 00:00:00,2018-02-14 00:00:00,90,76 days 00:00:00.000000000,-0.0664,0.0135,0.017,0.9695,2.0,215.0,-30560.088
2042.0, Echoin,EC,0,0.00139,5047109,-0.19,-19.28,-27.04,,,2018-07-31 00:00:00,2018-07-01 00:00:00,2.6,Closed,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,90,30 days 00:00:00.000000000,0.620784091,0.10335227300000001,0.049943182,0.846704545,88.0,220.0,625332.5
850.0, Azbit,AZ,1154256,0.00042300000000000004,3888,-1.25,-2.72,-10.15,Switzerland,Ethereum,2018-11-30 00:00:00,2018-10-01 00:00:00,4.6,Closed,ICO,2019-06-30 00:00:00,2018-12-01 00:00:00,59,60 days 00:00:00.000000000,0.127433333,0.015,0.013000000000000001,0.972,3.0,222.0,-25362.416
