rank_cnc,Name,Ticker,market_cap,price,volume24,pct1h,pct24h,pct7d,country,platform,pre_ico_end,pre_ico_start,rating,status,Name_y,type,End,Start,Duration,pre_Duration,compound,negative,neutral,positive,no_of_posts
314, Storm,STORM,"9,834,496",0.001522,"2,100,808",2.47,-1.65,4.07,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Trading,Storm,ICO,2017-11-27 12:00:00,2017-11-07 12:00:00,20 days 00:00:00.000000000,0 days 00:00:00.000000000,0.5675405797101449,0.037173913043478286,0.8558695652173914,0.10698550724637684,69
321, Quantum Resis...,QRL,"9,416,983",0.135306,"307,048",-0.3,-1.67,-4.24,,Blockchain,2017-09-28 03:00:00,2017-09-28 03:00:00,2.2,Trading,Quantum Resistant,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.325,0.0355,0.8795,0.08499999999999999,2
329, Aencoin,AEN,"8,830,955",0.033042,"124,261",1.22,1.11,4.21,Hong Kong,Ethereum,2018-08-31 00:00:00,2018-07-27 00:00:00,5.0,Closed,Aenco,ICO,2018-09-30 23:59:00,2018-09-01 00:00:00,29 days 23:59:00.000000000,35 days 00:00:00.000000000,-0.7964,0.005,0.027000000000000003,0.968,1
332, Blox,CDT,"8,716,078",0.012921,"427,528",1.0,-0.02,-8.71,Israel,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Trading,CoinDash,ICO,2017-08-17 18:00:00,2017-07-17 18:00:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000,0.0,0.0,0.0,0.0,0
333, Blackmoon,BMC,"8,706,877",0.161238,106,-0.17,-3.76,-1.37,Cyprus,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Trading,Blackmoon Crypto,ICO,2017-09-20 03:00:00,2017-09-12 03:00:00,8 days 00:00:00.000000000,0 days 00:00:00.000000000,0.00495000000000001,0.07400000000000001,0.07100000000000001,0.8555,2
338, Utrust,UTK,"8,519,984",0.018933,"26,917,825",-0.13,-2.85,-3.83,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,UTRUST,ICO,2017-11-20 17:00:00,2017-11-02 17:00:00,18 days 00:00:00.000000000,0 days 00:00:00.000000000,0.6706999999999999,0.011388888888888891,0.9065555555555556,0.0821111111111111,18
341, Achain,ACT,"8,417,681",0.008805,"512,082",0.62,-1.0,-3.15,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.1,Closed,ACT,ICO,2018-01-18 06:00:00,2017-11-18 06:00:00,61 days 00:00:00.000000000,0 days 00:00:00.000000000,0.4781560000000001,0.10750999999999998,0.058089999999999975,0.8344300000000001,100
344, adToken,ADT,"8,310,768",0.010467,"471,687",-3.94,257.75,250.4,,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,2.2,Trading,adToken,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.7862,0.0,0.997,0.003,1
359, Origo,OGO,"7,547,077",0.019287,"23,506,334",0.79,1.16,-8.86,Czech Republic,Ethereum,2018-08-31 00:00:00,2018-08-21 00:00:00,4.6,Closed,VogoV,ICO,2018-11-14 00:00:00,2018-09-26 00:00:00,49 days 00:00:00.000000000,10 days 00:00:00.000000000,0.8171666666666667,0.05316666666666667,0.8304999999999999,0.11599999999999999,6
369, Perlin,PERL,"7,080,137",0.027023,"685,413",-0.17,-2.91,-11.06,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.3,Upcoming,Perlin,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.6501187499999999,0.02787500000000001,0.8610625000000001,0.1111875,16
373, Aergo,AERGO,"7,006,031",0.067408,"18,102,033",-4.69,42.32,36.13,Hong Kong,Own Blockchain,2017-09-28 03:00:00,2017-09-28 03:00:00,3.1,Unknown,AERGO,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.8481,0.17300000000000001,0.0,0.8270000000000001,1
383, AdEx,ADX,"6,740,846",0.081981,"390,180",-0.23,0.49,-4.11,Russia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Trading,AdEx,ICO,2017-06-30 11:00:00,2017-06-30 03:00:00,0 days 08:00:00.000000000,0 days 00:00:00.000000000,0.8224,0.162,0.0,0.8380000000000001,3
387, Incent,INCNT,"6,636,038",0.144210,"12,590",-0.46,-1.44,-5.4,Australia,Waves,2017-09-28 03:00:00,2017-09-28 03:00:00,3.1,Trading,Incent,ICO,2017-01-04 15:00:00,2016-10-01 04:00:00,95 days 11:00:00.000000000,0 days 00:00:00.000000000,-0.46455,0.027000000000000003,0.9665,0.0065,2
390, TaaS,TAAS,"6,573,973",0.807018,431,-3.93,-4.25,-5.08,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Trading,TaaS,ICO,2017-04-27 13:00:00,2017-03-27 12:00:00,31 days 01:00:00.000000000,0 days 00:00:00.000000000,-0.0772,0.008,0.986,0.006999999999999999,1
393, Bluzelle,BLZ,"6,505,651",0.030812,"581,572",-0.61,1.43,21.8,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Trading,Bluzelle,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,-0.5719,0.004,0.016,0.98,1
395, Contents Prot...,CPT,"6,484,777",0.002131,"278,303",0.64,1.48,2.65,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,Cryptaur,ICO,2018-03-12 00:00:00,2017-11-27 00:00:00,105 days 00:00:00.000000000,0 days 00:00:00.000000000,0.1419,0.005,0.9513333333333334,0.04366666666666666,3
405, Insolar,INS,"6,056,084",0.186341,"12,761,158",0.13,0.31,-4.71,Russia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Trading,INS,ICO,2017-12-25 11:00:00,2017-12-04 11:00:00,21 days 00:00:00.000000000,0 days 00:00:00.000000000,0.8631180000000002,0.028819999999999988,0.8565799999999999,0.11456000000000005,100
407, Kin,KIN,"6,033,256",0.000005,"486,776",0.12,2.71,-10.73,Canada,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,Kin,ICO,2017-09-26 03:00:00,2017-09-12 03:00:00,14 days 00:00:00.000000000,0 days 00:00:00.000000000,0.5444166666666668,0.05127777777777778,0.8581666666666667,0.09066666666666667,18
410, Darico Ecosys...,DEC,"5,910,496",0.098752,"1,283",-0.13,0.82,9.42,Switzerland,Ethereum,2018-09-01 11:59:00,2018-09-01 00:00:00,1.7,Closed,Deciser,ICO,2018-09-02 23:59:00,2018-09-02 00:00:00,0 days 23:59:00.000000000,0 days 11:59:00.000000000,0.25095733333333325,0.049599999999999984,0.8756800000000002,0.07469333333333335,75
412, NaPoleonX,NPX,"5,907,635",0.242911,"52,234",-0.92,-1.98,-9.71,,,2017-09-28 03:00:00,2017-09-28 03:00:00,0.7,Closed,Napoleon Capital,ICO,2018-01-04 12:00:00,2017-12-04 12:00:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000,0.188725,0.046,0.8799999999999999,0.07400000000000001,4
413, BlackCoin,BLK,"5,899,637",0.095046,"27,916",-0.32,-0.49,26.61,Cayman Islands,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,5.0,Closed,Blok,ICO,2018-05-10 00:00:00,2018-04-10 00:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000,0.029955000000000002,0.0252,0.01895,0.95585,20
414, Litex,LXT,"5,885,589",0.005886,"1,127,596",-1.04,4.62,3.24,Estonia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Closed,LEXIT,ICO,2018-09-30 12:00:00,2018-06-19 09:00:00,103 days 03:00:00.000000000,0 days 00:00:00.000000000,0.3765500000000001,0.01,0.97775,0.0125,4
415, Eligma Token,ELI,"5,880,110",0.029563,"152,303",-0.31,-1.27,-5.53,Slovenia,Ethereum,2018-04-10 11:00:00,2018-03-20 12:00:00,5.0,Closed,Eligma,ICO,2018-05-08 11:00:00,2018-04-17 11:00:00,21 days 00:00:00.000000000,20 days 23:00:00.000000000,-0.22319,0.073,0.8571,0.0703,10
416, Nucleus Vision,NCASH,"5,847,632",0.000966,"291,618",-0.64,-2.5,-10.21,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Trading,Nucleus,ICO,2018-01-28 00:00:00,2018-01-01 00:00:00,27 days 00:00:00.000000000,0 days 00:00:00.000000000,0.0,0.0,0.0,0.0,0
419, SingularDTV,SNGLS,"5,789,081",0.009648,"39,477",-0.2,-3.49,1.34,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Trading,SingularDTV,ICO,2016-10-03 00:00:00,2016-10-02 00:00:00,1 days 00:00:00.000000000,0 days 00:00:00.000000000,0.0,0.0,0.0,0.0,0
420, Restart Energ...,MWAT,"5,769,826",0.012744,"8,324",-0.47,-0.96,-5.78,Romania,Ethereum,2018-01-28 00:00:00,2018-01-15 00:00:00,5.0,Trading,Restart Energy,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,13 days 00:00:00.000000000,0.9740000000000001,0.021,0.8879999999999999,0.0905,2
425, BABB,BAX,"5,726,211",0.000174,"286,494",-0.55,82.87,66.36,United Kingdom,Ethereum,2018-02-15 00:00:00,2018-01-15 00:00:00,4.6,Trading,BABB,ICO,2018-03-06 00:00:00,2018-02-06 00:00:00,28 days 00:00:00.000000000,31 days 00:00:00.000000000,0.0,0.0,0.0,0.0,0
427, ChainX,PCX,"5,694,430",2.30,"615,603",-0.47,-6.86,-10.15,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Closed,Property Coin,ICO,2018-07-31 10:59:00,2018-04-30 23:00:00,91 days 11:59:00.000000000,0 days 00:00:00.000000000,0.7862,0.0,0.997,0.003,1
429, DMarket,DMT,"5,669,178",0.099596,"1,786,635",-0.98,9.81,4.16,Mexico,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Closed,Dopameme,ICO,2018-05-12 00:00:00,2018-03-17 00:00:00,56 days 00:00:00.000000000,0 days 00:00:00.000000000,0.4536714285714286,0.06214285714285715,0.8757142857142857,0.061999999999999986,7
430, Metronome,MET,"5,569,146",0.574195,"439,045",-3.12,-5.45,-4.53,Russia,Waves,2017-09-28 03:00:00,2017-09-28 03:00:00,3.1,Closed,The Memessenger,ICO,2018-04-25 12:00:00,2017-07-25 12:00:00,274 days 00:00:00.000000000,0 days 00:00:00.000000000,0.571553,0.042790000000000016,0.8366200000000003,0.12051999999999995,100
433, Monetha,MTH,"5,529,077",0.013740,"143,996",0.07,-1.03,-4.73,Lithuania,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Trading,Monetha,ICO,2017-08-31 15:18:00,2017-08-31 15:00:00,0 days 00:18:00.000000000,0 days 00:00:00.000000000,0.0772,0.015,0.97,0.016,1
437, Odyssey,OCN,"5,406,679",0.000809,"376,062",-0.31,0.79,-2.6,Malta,Stellar,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Closed,Poseidon,ICO,2019-03-24 00:00:00,2019-02-16 12:00:00,35 days 12:00:00.000000000,0 days 00:00:00.000000000,0.578818,0.03026999999999998,0.8849600000000001,0.08479999999999993,100
444, SONM,SNM,"5,289,508",0.014709,"441,483",-7.66,-0.26,11.94,Russia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Trading,SONM Network,ICO,2017-07-25 12:00:00,2017-06-25 12:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000,-0.1904666666666667,0.09244444444444444,0.8117777777777778,0.09577777777777778,9
446, DAO.Casino,BET,"5,285,590",0.031599,"19,212",0.68,-6.79,-11.04,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Trading,DAO.casino,ICO,2017-07-26 16:00:00,2017-06-29 16:00:00,27 days 00:00:00.000000000,0 days 00:00:00.000000000,0.6705429999999999,0.11032000000000003,0.044800000000000006,0.8448300000000003,100
452, Genesis Vision,GVT,"5,185,473",1.17,"623,106",-0.16,1.54,4.73,Russia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,Genesis Vision,ICO,2017-11-15 12:00:00,2017-10-15 12:00:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000,0.8817610000000002,0.02632,0.84867,0.12507000000000001,100
454, doc.com Token,MTC,"5,132,595",0.007106,"25,712",-1.13,-5.64,-15.21,Mexico,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Closed,Docademic,ICO,2018-02-28 00:00:00,2018-01-29 00:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000,0.5352571428571429,0.06257142857142857,0.8233214285714286,0.11425000000000005,28
458, SwissBorg,CHSB,"5,067,946",0.008801,"31,154",-0.38,-0.26,-6.95,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.8,Trading,SwissBorg,ICO,2018-01-10 00:00:00,2017-12-07 00:00:00,34 days 00:00:00.000000000,0 days 00:00:00.000000000,0.14554999999999998,0.0105,0.9775,0.012,2
460, ContentBox,BOX,"4,937,648",0.005329,"136,983",2.15,-9.24,-7.87,Japan,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.3,Closed,BeonBOX,ICO,2018-05-15 06:00:00,2018-03-20 06:00:00,56 days 00:00:00.000000000,0 days 00:00:00.000000000,0.5049470000000003,0.08211,0.031089999999999982,0.8868400000000003,100
480, WePower,WPR,"4,452,659",0.007321,"1,785,926",0.42,-2.71,-5.54,Gibraltar,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,5.0,Trading,WePower,ICO,2018-02-02 00:00:00,2018-02-01 00:00:00,1 days 00:00:00.000000000,0 days 00:00:00.000000000,0.2263,0.0,0.994,0.006,1
483, Jibrel Network,JNT,"4,440,744",0.026110,"7,272",18.1,9.8,2.14,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Trading,Jibrel Network,ICO,2017-12-27 00:00:00,2017-11-27 00:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000,0.6158409999999997,0.03149999999999998,0.8784699999999998,0.08996,100
485, Travala.com,AVA,"4,415,366",0.099662,"2,587,477",-0.14,-3.61,-14.65,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Closed,Avalon,ICO,2017-09-15 03:00:00,2017-08-25 03:00:00,21 days 00:00:00.000000000,0 days 00:00:00.000000000,0.768,0.10300000000000001,0.07400000000000001,0.823,1
488, Sense,SENSE,"4,413,188",0.008673,0,0.0,0.0,0.0,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Trading,SENSE,ICO,2017-11-30 22:00:00,2017-11-07 13:00:00,23 days 09:00:00.000000000,0 days 00:00:00.000000000,0.5489339999999999,0.057540000000000015,0.8377100000000002,0.10474,100
492, IPChain,IPC,"4,367,795",0.055245,"267,879",-1.79,-3.13,-20.36,Germany,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Closed,PAYSURA,ICO,2018-04-02 13:00:00,2018-03-03 13:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000,0.061843999999999975,0.033400000000000006,0.9323599999999996,0.034280000000000005,25
503, Krios,KRI,"4,142,855",0.023260,"84,562",-0.78,16.82,43.17,Australia,Ethereum,2017-11-30 12:00:00,2017-11-17 12:00:00,4.3,Closed,Krios,ICO,2018-05-15 12:00:00,2018-01-08 12:00:00,127 days 00:00:00.000000000,13 days 00:00:00.000000000,0.08779999999999999,0.016,0.968,0.016,2
510, BOLT,BOLT,"4,022,053",0.009748,"1,469,679",1.94,7.6,8.65,United Kingdom,NEO,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Closed,BOLT,ICO,2018-09-15 00:00:00,2018-09-11 00:00:00,4 days 00:00:00.000000000,0 days 00:00:00.000000000,0.4349875,0.11537500000000002,0.0579375,0.82675,16
512, SIRIN LABS Token,SRN,"4,003,976",0.008141,"65,358",-0.07,-3.39,-5.59,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Trading,Sirin Labs,ICO,2017-12-25 12:00:00,2017-12-12 12:00:00,13 days 00:00:00.000000000,0 days 00:00:00.000000000,0.7803125000000002,0.031937500000000014,0.8684999999999999,0.0996875,16
516, Lympo,LYM,"3,929,878",0.004754,"26,704",-0.46,0.58,-6.98,Estonia,Ethereum,2018-01-30 00:00:00,2018-01-23 12:00:00,5.0,Trading,Lympo,ICO,2018-02-28 13:00:00,2018-02-17 11:00:00,11 days 02:00:00.000000000,6 days 12:00:00.000000000,0.34,0.0,0.989,0.011,1
517, Agrello,DLT,"3,926,091",0.045663,"146,007",-1.35,1.7,5.36,Estonia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Trading,Agrello,ICO,2017-08-17 14:59:59,2017-07-16 16:00:00,31 days 22:59:59.000000000,0 days 00:00:00.000000000,0.5981521739130434,0.054782608695652164,0.8382608695652172,0.107,46
522, Edge,DADI,"3,851,044",0.054196,"7,801",0.01,0.51,0.61,United Kingdom,Ethereum,2018-01-28 00:00:00,2018-01-22 00:00:00,5.0,Trading,DADI,ICO,2018-03-01 00:00:00,2018-01-29 00:00:00,31 days 00:00:00.000000000,6 days 00:00:00.000000000,0.09505,0.01,0.976,0.014,2
523, BitMart Token,BMX,"3,848,613",0.023153,"335,910",0.02,-2.82,4.89,Cayman Islands,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Closed,Bitmart,ICO,2018-01-15 03:00:00,2017-12-28 03:00:00,18 days 00:00:00.000000000,0 days 00:00:00.000000000,0.5049470000000003,0.08211,0.031089999999999982,0.8868400000000003,100
527, district0x,DNT,"3,764,929",0.006275,"124,990",-0.55,-2.08,-5.27,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Trading,district0x,ICO,2017-08-01 19:00:00,2017-07-18 18:00:00,14 days 01:00:00.000000000,0 days 00:00:00.000000000,0.99845,0.023,0.8235,0.1535,2
529, Aeon,AEON,"3,741,123",0.236309,787,-0.21,-1.93,-4.55,,,2017-09-28 03:00:00,2017-09-28 03:00:00,0.7,Trading,Aeon,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,-0.198425,0.01425,0.01625,0.96925,8
530, Neumark,NEU,"3,721,069",0.094844,254,-0.09,4.97,1.79,,,2017-09-28 03:00:00,2017-09-28 03:00:00,2.2,Unknown,Neucoin,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.0,0.0,0.0,0.0,0
540, Aeron,ARN,"3,610,459",0.180631,"775,852",-0.72,-1.93,-4.94,Belize,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,Aeron,ICO,2017-10-31 06:00:00,2017-09-19 03:00:00,42 days 03:00:00.000000000,0 days 00:00:00.000000000,0.3997333333333333,0.008666666666666668,0.9176666666666669,0.07366666666666666,3
541, AirSwap,AST,"3,579,012",0.023860,"2,770,251",-0.54,-3.42,-2.62,United Arab Emirates,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Closed,Afterschool,ICO,2017-10-26 12:00:00,2017-09-26 12:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000,0.6209529999999996,0.03161999999999998,0.8769699999999999,0.09134,100
545, AppCoins,APPC,"3,553,690",0.035518,"47,483",-0.59,-2.33,-5.93,Singapore,Ethereum,2017-11-20 00:00:00,2017-11-06 00:00:00,5.0,Trading,AppCoins,ICO,2018-01-15 00:00:00,2017-12-13 00:00:00,33 days 00:00:00.000000000,14 days 00:00:00.000000000,0.0,0.0,0.0,0.0,0
551, Blockmason Cr...,BCPT,"3,429,902",0.029528,"186,130",-0.61,-1.63,-4.03,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Trading,BlockMason,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.3560875,0.079125,0.046875,0.874125,8
552, Refereum,RFR,"3,427,743",0.000790,"65,491",-0.84,-0.39,-6.47,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Trading,Refereum,ICO,2017-12-13 00:00:00,2017-11-13 00:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000,0.0,0.0,0.0,0.0,0
553, BLOCKv,VEE,"3,414,626",0.001283,330,-0.18,-1.42,-7.7,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Trading,BLOCKv,ICO,2017-10-25 07:00:00,2017-10-19 18:00:00,5 days 13:00:00.000000000,0 days 00:00:00.000000000,0.6637600000000001,0.0384,0.8981999999999999,0.0634,5
557, AIDUS TOKEN,AID,"3,387,660",0.003754,"1,837",1.78,-2.62,4.22,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Trading,AidCoin,ICO,2018-02-01 00:00:00,2018-01-16 00:00:00,16 days 00:00:00.000000000,0 days 00:00:00.000000000,0.2618395833333333,0.07022916666666668,0.8346249999999998,0.0950625,48
559, AMO Coin,AMO,"3,384,079",0.000256,"463,628",0.71,-4.89,-13.6,Romania,Ethereum,2018-02-28 23:59:59,2018-02-07 00:00:00,3.9,Closed,Amorito,ICO,2018-03-22 23:59:59,2018-03-01 00:00:00,21 days 23:59:59.000000000,21 days 23:59:59.000000000,0.5419830000000001,0.09712000000000004,0.04134999999999999,0.8615,100
568, Ecobit,ECOB,"3,222,959",0.007252,0,0.0,-0.69,29.81,Malaysia,NEM,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Trading,EcoBit,ICO,2017-06-15 15:00:00,2017-04-09 15:00:00,67 days 00:00:00.000000000,0 days 00:00:00.000000000,0.0,0.0,0.0,0.0,0
576, BOScoin,BOS,"3,119,399",0.004500,"980,135",-0.28,-0.68,-12.76,South Korea,,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,BOScoin,ICO,2017-05-10 20:00:00,2017-05-10 01:00:00,0 days 19:00:00.000000000,0 days 00:00:00.000000000,0.7125666666666667,0.03416666666666667,0.8446666666666668,0.121,6
591, Lykke,LKK,"2,953,964",0.009324,0,0.0,-0.59,3.94,,,2017-09-28 03:00:00,2017-09-28 03:00:00,3.3,Trading,Lykke,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,-0.00156666666666667,0.01533333333333333,0.9708333333333332,0.013833333333333331,6
601, ShipChain,SHIP,"2,761,667",0.010575,234,-0.13,20.8,43.29,,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Unknown,ShipChain,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.3944298507462688,0.04434328358208957,0.8519552238805972,0.10370149253731348,67
608, Swarm,SWM,"2,712,388",0.034485,587,-3.62,7.28,-4.4,Liechtenstein,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Closed,Swarm Fund,ICO,2017-10-27 12:00:00,2017-10-21 12:00:00,6 days 00:00:00.000000000,0 days 00:00:00.000000000,0.5757000000000001,0.045859999999999984,0.8483499999999995,0.10575999999999997,100
632, Peerplays,PPY,"2,550,900",0.566673,"101,400",2.18,13.99,24.92,Canada,,2017-09-28 03:00:00,2017-09-28 03:00:00,3.0,Trading,Peerplays,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.17890000000000006,0.016666666666666666,0.9640000000000001,0.019,3
636, XYO,XYO,"2,531,873",0.000305,"2,716",-0.36,-1.18,-20.84,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.8,Trading,XYO Network,ICO,2018-05-20 00:00:00,2018-03-20 00:00:00,61 days 00:00:00.000000000,0 days 00:00:00.000000000,0.6158409999999997,0.03149999999999998,0.8784699999999998,0.08996,100
645, Hubii Network,HBT,"2,481,428",0.163868,"5,405",15.02,-6.24,-7.85,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.3,Trading,Hubii Network,ICO,2017-09-07 14:00:00,2017-08-24 12:00:00,14 days 02:00:00.000000000,0 days 00:00:00.000000000,0.6158409999999997,0.03149999999999998,0.8784699999999998,0.08996,100
649, Wings,WINGS,"2,460,206",0.025526,"280,415",0.02,-1.5,-5.57,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.1,Trading,Wings,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.39970769230769226,0.047,0.8699230769230769,0.08299999999999999,13
657, HBZ coin,HBZ,"2,398,545",0.002450,"23,785",0.83,0.34,134.4,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Trading,Helbiz,ICO,2018-03-04 12:00:00,2018-01-26 12:00:00,37 days 00:00:00.000000000,0 days 00:00:00.000000000,0.399923,0.030919999999999993,0.8947299999999996,0.07435,100
664, ATLANT,ATL,"2,351,397",0.043404,"1,149",-0.19,-22.05,0.69,Russia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,Atlant,ICO,2017-11-01 03:00:00,2017-09-07 03:00:00,55 days 00:00:00.000000000,0 days 00:00:00.000000000,0.9774666666666668,0.015,0.8563333333333333,0.12866666666666668,3
665, CryptalDash,CRD,"2,344,974",0.002345,0,-0.2,11.06,196.35,,,2017-09-28 03:00:00,2017-09-28 03:00:00,1.7,Closed,Credo,ICO,2017-08-25 12:00:00,2017-07-26 01:00:00,30 days 11:00:00.000000000,0 days 00:00:00.000000000,0.7862,0.0,0.997,0.003,1
667, Abyss Token,ABYSS,"2,323,791",0.010192,"208,868",-1.67,-4.69,7.87,Malta,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,5.0,Trading,The Abyss,ICO,2018-05-16 14:00:00,2018-04-18 14:00:00,28 days 00:00:00.000000000,0 days 00:00:00.000000000,0.5253040000000002,0.08517999999999998,0.030589999999999968,0.8842500000000001,100
670, BitDice,CSNO,"2,310,234",0.033003,3,-0.54,-1.54,-5.01,Costa Rica,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Trading,BitDice,ICO,2017-09-15 11:54:25,2017-08-15 11:54:20,31 days 00:00:05.000000000,0 days 00:00:00.000000000,0.4132500000000001,0.0315,0.8417499999999999,0.12675,4
672, Lunyr,LUN,"2,288,363",0.995870,"80,089",0.21,-2.99,-5.54,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Trading,Lunyr,ICO,2017-04-27 15:00:00,2017-03-29 19:00:00,28 days 20:00:00.000000000,0 days 00:00:00.000000000,-0.3144,0.03466666666666667,0.9333333333333332,0.032,3
676, MVL,MVL,"2,240,237",0.000293,"124,247",-2.02,-6.68,-9.87,Singapore,Ethereum,2018-05-11 21:00:00,2018-04-26 21:00:00,4.8,Closed,Mass Vehicle Ledger,ICO,2018-05-24 21:00:00,2018-05-15 21:00:00,9 days 00:00:00.000000000,15 days 00:00:00.000000000,0.7129142857142857,0.04114285714285715,0.855857142857143,0.10314285714285712,7
