rank_cnc,Name,Ticker,market_cap,price,volume24,pct1h,pct24h,pct7d,country,platform,pre_ico_end,pre_ico_start,rating,status,Name_y,type,End,Start,Duration,pre_Duration,compound,negative,neutral,positive,no_of_posts
76, Bytecoin,BCN,"68,182,905",0.000370,"13,997",-5.29,-11.16,-11.81,,,2017-09-28 03:00:00,2017-09-28 03:00:00,1.9,Trading,Bytecoin,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,-0.3919,0.0466923076923077,0.05953846153846155,0.8935384615384615,13
77, Aeternity,AE,"67,699,269",0.232707,"53,450,389",-0.25,-2.76,-2.7,Bulgaria,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.9,Trading,aeternity,ICO,2017-06-09 18:30:51,2017-05-29 00:00:36,11 days 18:30:15.000000000,0 days 00:00:00.000000000,0.171648,0.03718,0.91432,0.04855,100
78, MCO,MCO,"67,656,969",4.28,"11,463,179",-0.16,-4.84,-1.41,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Trading,Monaco,ICO,2017-06-18 12:30:00,2017-05-18 12:30:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000,0.591653,0.015639999999999984,0.90885,0.07558000000000002,100
82, iExec RLC,RLC,"57,487,535",0.717959,"793,957",-0.16,-4.04,7.69,France,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,5.0,Trading,iExec,ICO,2017-04-12 12:00:00,2017-03-12 12:00:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000,0.72845,0.0125,0.9585,0.028999999999999998,2
92, Status,SNT,"44,910,334",0.012941,"185,829,000",0.36,-1.13,-4.28,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Trading,Status Network,ICO,2017-06-21 18:00:00,2017-06-20 18:00:00,1 days 00:00:00.000000000,0 days 00:00:00.000000000,0.389894,0.03578,0.8836299999999998,0.08048000000000002,100
94, Golem,GNT,"44,557,248",0.045464,"4,200,621",0.14,-0.19,1.17,Poland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Trading,Golem,ICO,2016-11-14 00:00:00,2016-11-13 00:00:00,1 days 00:00:00.000000000,0 days 00:00:00.000000000,0.9066,0.0256,0.852,0.1226,5
115, Aion,AION,"33,270,759",0.091718,"1,622,779",-0.38,-1.0,2.32,,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.0,Trading,Aion,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.1509,0.151,0.11699999999999999,0.732,1
122, Elastos,ELA,"31,147,795",1.94,"432,088",0.85,-1.35,-4.86,Singapore,NEO,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Trading,Elastos,ICO,2018-01-31 00:00:00,2018-01-01 00:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000,-0.17316666666666666,0.011333333333333334,0.9796666666666668,0.009000000000000001,3
123, Decentraland,MANA,"31,081,953",0.029598,"4,691,779",-0.7,-0.91,-5.97,Argentina,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Trading,Decentraland,ICO,2017-08-26 18:00:00,2017-08-17 04:00:00,9 days 14:00:00.000000000,0 days 00:00:00.000000000,0.5832124999999999,0.02175,0.8603750000000001,0.117875,8
124, Populous,PPT,"30,855,147",0.579415,"2,982,164",-1.64,4.26,12.35,United Kingdom,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Trading,Populous,ICO,2017-07-25 00:00:00,2017-07-24 00:00:00,1 days 00:00:00.000000000,0 days 00:00:00.000000000,0.4368800000000001,0.04464000000000001,0.8809199999999998,0.07452,25
129, Kyber Network,KNC,"30,112,341",0.178337,"3,306,097",-0.74,-3.99,0.14,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Trading,KyberNetwork,ICO,2017-09-18 12:00:00,2017-09-15 12:00:00,3 days 00:00:00.000000000,0 days 00:00:00.000000000,0.6158409999999997,0.03149999999999998,0.8784699999999998,0.08996,100
