rank_cnc,Name,Ticker,market_cap,price,volume24,pct1h,pct24h,pct7d,country,platform,pre_ico_end,pre_ico_start,rating,status,type,End,Start,Duration,pre_Duration,compound,negative,neutral,positive,no_of_posts,Longevity,Success_Index
1874.0, Eternity,ENT,9743,0.001756,0,0.0,-0.22,-2.06,Australia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.3,Closed,ICO,2017-12-07 00:00:00,2017-11-02 00:00:00,13,0 days 00:00:00.000000000,0.5766,0.014,0.005,0.981,1.0,249.0,0.11025659458967275
1723.0, Absolute,ABS,30157,9e-06,58,-0.87,-19.99,-18.16,Taiwan,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,5.0,Closed,ICO,2017-08-04 23:59:59,2017-07-14 00:00:00,158,0 days 00:00:00.000000000,-0.205655556,0.094,0.091555556,0.814555556,9.0,274.0,0.11022324630015082
1722.0, ARAW,ARAW,30733,0.004594,10195,1.63,1.61,6.76,United Kingdom,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,5.0,Closed,ICO,2019-02-15 23:59:00,2018-09-10 00:00:00,27,0 days 00:00:00.000000000,0.5562357139999999,0.112214286,0.041714286,0.8460714290000001,70.0,279.0,0.11031342183588744
1407.0, Bitstar,BITS,138963,0.0008439999999999999,332,7.89,14.36,-22.22,Kenya,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Closed,ICO,2018-05-01 00:00:00,2017-12-01 00:00:00,61,0 days 00:00:00.000000000,-0.6908,0.006999999999999999,0.02,0.973,1.0,289.0,0.11005346159768316
2233.0, Emanate,EMT,0,0.000394,2855,0.23,16.02,17.64,Poland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Closed,ICO,2017-09-27 17:00:00,2017-08-24 17:00:00,15,0 days 00:00:00.000000000,0.791758,0.10011,0.03418,0.86574,100.0,290.0,0.11029665570841904
1430.0, Aphelion,APH,123342,0.003952000000000001,0,-0.12,-37.79,-25.24,,NEO,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Trading,ICO,2017-12-07 00:00:00,2017-11-15 00:00:00,19,0 days 00:00:00.000000000,0.9034,0.034,0.028,0.938,1.0,312.0,0.11007506943424877
2133.0, HitChain,HIT,0,0.241859,96958,-0.31,-0.65,11.21,Russia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Unknown,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,121,0 days 00:00:00.000000000,0.87525,0.1336,0.0518,0.8147,10.0,320.0,0.11113090153533103
1953.0, Bolenum,BLN,4809,0.003979,29,-0.1,134.75,0.3,Nigeria,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Trading,ICO,2017-08-14 23:59:59,2017-07-15 00:00:00,27,0 days 00:00:00.000000000,0.86734,0.0908,0.03,0.8794,5.0,321.0,0.1102662254863046
651.0, HBZ coin,HBZ,2451916,0.379011,158636,-1.23,-4.31,-41.52,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Trading,ICO,2018-03-04 12:00:00,2018-01-26 12:00:00,115,0 days 00:00:00.000000000,0.321625,0.019,0.06725,0.91375,4.0,326.0,0.10775579531429866
762.0, NAGA,NGC,1591749,0.039678,2746,-4.3,-7.03,-19.37,Germany,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,5.0,Trading,ICO,2017-12-15 23:59:59,2017-12-01 00:00:00,21,0 days 00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,329.0,0.10775054537713111
818.0, Happycoin,HPC,1306157,0.001911,265891,-0.2,-3.83,37.62,,,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Unknown,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,14,0 days 00:00:00.000000000,-0.514595652,0.06026087,0.891826087,0.047913043,23.0,336.0,0.1105420439364049
579.0, Genaro Network,GNX,3115806,0.002868,35620,-0.08,-5.27,-1.14,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,5.0,Trading,ICO,2017-12-08 18:16:05,2017-11-17 00:00:00,88,0 days 00:00:00.000000000,0.706183333,0.093333333,0.038666667,0.867833333,6.0,339.0,0.10560235677367524
683.0, Brickblock,BBK,2169025,0.004151,344,-1.5,8.69,-15.71,Germany,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Closed,ICO,2018-05-16 13:00:00,2018-05-09 13:00:00,30,0 days 00:00:00.000000000,-0.28555,0.006999999999999999,0.0115,0.981,2.0,341.0,0.10680544852423723
727.0, DaTa eXchange,DTX,1848845,0.003914,134354,-3.67,-6.31,-4.52,Belgium,Ethereum,2018-04-25 15:00:00,2018-03-19 15:00:00,4.8,Closed,ICO,2018-06-30 15:00:00,2018-04-26 15:00:00,29,37 days 00:00:00.000000000,0.062768571,0.075114286,0.8241714290000001,0.100714286,35.0,351.0,0.10850632558730183
137.0, Civic,CVC,27128753,0.044615,14432647,0.25,5.62,7.18,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Trading,ICO,2017-06-28 16:00:00,2017-06-21 16:00:00,61,0 days 00:00:00.000000000,0.582416667,0.0835,0.04,0.8763333329999999,6.0,351.0,0.1948684548570187
1252.0, Storiqa,STQ,261202,0.006982,1086,-0.11,-9.02,-28.83,Hong Kong,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,5.0,Trading,ICO,2018-02-13 23:00:00,2017-12-05 00:00:00,46,0 days 00:00:00.000000000,0.501907,0.07946,0.034260000000000006,0.88633,100.0,351.0,0.10986413257100677
292.0, B2BX,B2B,11291589,0.0008060000000000001,414,0.04,-6.38,-3.64,Russia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,5.0,Trading,ICO,2017-09-29 12:00:00,2017-09-13 12:00:00,7,0 days 00:00:00.000000000,-0.016261111,0.027611111,0.906611111,0.065666667,18.0,353.0,0.09220329927125805
2157.0, CarBlock,CAR,0,0.000379,38378,-0.06,1.61,-8.77,Belize,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Closed,ICO,2018-01-10 13:00:00,2017-12-10 13:00:00,25,0 days 00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,358.0,0.11061200609233234
