,compound,neg,neu,pos
 BHEX Token,NA,NA,NA,NA
 BQT,0.9941,0.016,0.858,0.126
 Santiment Net...,NA,NA,NA,NA
 BTU Protocol,NA,NA,NA,NA
 Obyte,NA,NA,NA,NA
 Apollo Currency,0.9999,0.04,0.76,0.2
 IoT Chain,0.9993,0.039,0.879,0.082
 BnkToTheFuture,NA,NA,NA,NA
 Egretia,NA,NA,NA,NA
 Carry,0.0,0.0,0.0,0.0
 Wagerr,0.0,0.0,0.0,0.0
 Monolith,0.9997,0.047,0.737,0.215
 SingularityNET,0.969,0.007,0.978,0.015
 IRISnet,NA,NA,NA,NA
 PlayChip,NA,NA,NA,NA
 B2BX,NA,NA,NA,NA
 ZrCoin,NA,NA,NA,NA
 MediBloc,NA,NA,NA,NA
 TenX,1.0,0.045,0.775,0.18
 Davinci Coin,NA,NA,NA,NA
 FirstBlood,NA,NA,NA,NA
 Storm,1.0,0.01,0.754,0.236
 Force Protocol,-0.3818,0.028,0.951,0.021
 Contentos,NA,NA,NA,NA
 Quantum Resis...,NA,NA,NA,NA
 CasinoCoin,NA,NA,NA,NA
 Aencoin,NA,NA,NA,NA
 Blox,NA,NA,NA,NA
 Blackmoon,0.9994,0.009,0.73,0.261
 Utrust,NA,NA,NA,NA
 Achain,0.9996,0.061,0.742,0.197
 adToken,0.9999,0.056,0.782,0.163
 Streamr DATAcoin,0.0,0.0,0.0,0.0
 Gifto,1.0,0.0,0.577,0.423
 Bitrue Coin,NA,NA,NA,NA
 Everex,NA,NA,NA,NA
 Origo,NA,NA,NA,NA
 Perlin,0.9738,0.017,0.94,0.042
 Aergo,0.0,0.0,0.0,0.0
 GoChain,NA,NA,NA,NA
 AdEx,0.0,0.0,0.0,0.0
 Dusk Network,-0.5719,0.022,0.957,0.021
 Incent,0.9738,0.002,0.988,0.011
 CyberVein,NA,NA,NA,NA
 TaaS,NA,NA,NA,NA
 Bluzelle,-0.999,0.19,0.717,0.093
 Contents Prot...,NA,NA,NA,NA
 Dropil,NA,NA,NA,NA
 CommerceBlock,NA,NA,NA,NA
 Insolar,NA,NA,NA,NA
 Kin,1.0,0.018,0.78,0.202
 Darico Ecosys...,NA,NA,NA,NA
 NaPoleonX,1.0,0.066,0.764,0.17
 BlackCoin,NA,NA,NA,NA
 Litex,NA,NA,NA,NA
 Eligma Token,NA,NA,NA,NA
 Nucleus Vision,0.9963,0.005,0.749,0.246
 SingularDTV,0.9993,0.015,0.777,0.208
 Restart Energ...,NA,NA,NA,NA
 BABB,NA,NA,NA,NA
 ChainX,0.0,0.0,1.0,0.0
 DMarket,NA,NA,NA,NA
 Metronome,NA,NA,NA,NA
 Monetha,NA,NA,NA,NA
 Digix Gold Token,NA,NA,NA,NA
 Dock,NA,NA,NA,NA
 Odyssey,1.0,0.043,0.714,0.242
 Flash,NA,NA,NA,NA
 SONM,NA,NA,NA,NA
 DAO.Casino,NA,NA,NA,NA
 DeepBrain Chain,1.0,0.044,0.77,0.187
 Genesis Vision,0.9999,0.035,0.786,0.179
 doc.com Token,NA,NA,NA,NA
 SwissBorg,NA,NA,NA,NA
 ContentBox,NA,NA,NA,NA
 WePower,1.0,0.03,0.731,0.239
 Jibrel Network,0.0,0.0,0.0,0.0
 Travala.com,0.9914,0.039,0.821,0.139
 GET Protocol,1.0,0.028,0.739,0.234
 Sense,1.0,0.045,0.768,0.187
 IPChain,NA,NA,NA,NA
 Cashaa,0.0,0.0,1.0,0.0
 Emercoin,0.0,0.0,0.0,0.0
 Krios,NA,NA,NA,NA
 BOLT,1.0,0.01,0.754,0.236
 SIRIN LABS Token,1.0,0.046,0.753,0.201
 Lympo,NA,NA,NA,NA
 Agrello,0.9879,0.021,0.944,0.036
 DATA,0.0,0.0,0.0,0.0
 Edge,0.6124,0.003,0.987,0.009
 BitMart Token,NA,NA,NA,NA
 district0x,NA,NA,NA,NA
 Aeon,NA,NA,NA,NA
 Neumark,NA,NA,NA,NA
 Infinitus Token,0.9817,0.02,0.908,0.072
 Aeron,0.997,0.011,0.8,0.189
 AirSwap,0.0,0.0,1.0,0.0
 AppCoins,1.0,0.036,0.779,0.185
 DAOstack,NA,NA,NA,NA
 Blockmason Cr...,NA,NA,NA,NA
 Refereum,NA,NA,NA,NA
 BLOCKv,1.0,0.019,0.767,0.213
 AIDUS TOKEN,NA,NA,NA,NA
 Etherparty,NA,NA,NA,NA
 AMO Coin,-0.3818,0.028,0.951,0.021
 Ecobit,NA,NA,NA,NA
 Credit Tag Chain,NA,NA,NA,NA
 Endor Protocol,NA,NA,NA,NA
 Game.com,NA,NA,NA,NA
 BOScoin,NA,NA,NA,NA
 INLOCK,NA,NA,NA,NA
 Genaro Network,NA,NA,NA,NA
 Etheroll,NA,NA,NA,NA
 Bottos,NA,NA,NA,NA
 Lykke,1.0,0.045,0.768,0.187
 ShipChain,NA,NA,NA,NA
 Global Crypto...,NA,NA,NA,NA
 Swarm,0.9882,0.003,0.975,0.022
 Caspian,0.0,0.0,1.0,0.0
 Change,0.0,0.0,0.0,0.0
 Chromia,0.0,0.0,0.0,0.0
 BitNewChain,NA,NA,NA,NA
 IQeon,NA,NA,NA,NA
 Feathercoin,NA,NA,NA,NA
 Peerplays,NA,NA,NA,NA
 XYO,NA,NA,NA,NA
 Gold Bits Coin,NA,NA,NA,NA
 Omnitude,NA,NA,NA,NA
 Hubii Network,NA,NA,NA,NA
 BlockStamp,NA,NA,NA,NA
 Wings,1.0,0.03,0.74,0.23
 Cryptocean,1.0,0.042,0.801,0.157
 HBZ coin,NA,NA,NA,NA
 ATLANT,NA,NA,NA,NA
 CryptalDash,NA,NA,NA,NA
 Abyss Token,NA,NA,NA,NA
 BitDice,NA,NA,NA,NA
 Lunyr,NA,NA,NA,NA
 MVL,NA,NA,NA,NA
 Remme,NA,NA,NA,NA
 HashBX,NA,NA,NA,NA
 Brickblock,NA,NA,NA,NA
 Primas,NA,NA,NA,NA
 Insights Network,NA,NA,NA,NA
 Own,0.0,0.0,0.0,0.0
 Smartlands,NA,NA,NA,NA
 Maecenas,NA,NA,NA,NA
 MultiVAC,1.0,0.036,0.791,0.173
 CPChain,NA,NA,NA,NA
 MARK.SPACE,NA,NA,NA,NA
 indaHash,NA,NA,NA,NA
 ParkinGo,NA,NA,NA,NA
 Unibright,NA,NA,NA,NA
 BANKEX,NA,NA,NA,NA
 Apex,NA,NA,NA,NA
 DaTa eXchange,1.0,0.028,0.739,0.234
 Gene Source C...,0.9999,0.035,0.786,0.179
 Cryptopay,NA,NA,NA,NA
 Business Cred...,NA,NA,NA,NA
 Color Platform,0.0,0.0,0.0,0.0
 Lendingblock,NA,NA,NA,NA
 Ink,0.998,0.018,0.788,0.195
 Bismuth,NA,NA,NA,NA
 DEEX,NA,NA,NA,NA
 Insureum,NA,NA,NA,NA
 Primalbase Token,NA,NA,NA,NA
 0Chain,NA,NA,NA,NA
 NAGA,NA,NA,NA,NA
 1SG,NA,NA,NA,NA
 3DCoin,NA,NA,NA,NA
 DreamTeam Token,NA,NA,NA,NA
 Merculet,NA,NA,NA,NA
 GMB,NA,NA,NA,NA
 Kryll,NA,NA,NA,NA
 MobileGo,0.9999,0.078,0.754,0.168
 DECENT,0.9998,0.022,0.822,0.156
 Covesting,NA,NA,NA,NA
 CashBet Coin,NA,NA,NA,NA
 ALIS,0.0,0.0,0.0,0.0
 LikeCoin,NA,NA,NA,NA
 HashCoin,NA,NA,NA,NA
 Colu Local Ne...,NA,NA,NA,NA
 Ubex,NA,NA,NA,NA
 ELA Coin,1.0,0.036,0.779,0.185
 Coinsuper Eco...,NA,NA,NA,NA
 KickToken,NA,NA,NA,NA
 Safe Haven,NA,NA,NA,NA
 Grid+,NA,NA,NA,NA
 BOOM,1.0,0.019,0.763,0.218
 Mindexcoin,NA,NA,NA,NA
 Happycoin,NA,NA,NA,NA
 Bitcoin Confi...,NA,NA,NA,NA
 Medicalchain,NA,NA,NA,NA
 COTI,0.6666,0.014,0.969,0.017
 DAEX,NA,NA,NA,NA
 CEEK VR,NA,NA,NA,NA
 EncrypGen,NA,NA,NA,NA
 Chronobank,0.6486,0.004,0.979,0.017
 Enecuum,0.9998,0.09,0.727,0.182
 CoinPoker,NA,NA,NA,NA
 BonusCloud,1.0,0.049,0.807,0.144
 Azbit,NA,NA,NA,NA
 Eden,0.9903,0.004,0.964,0.032
 Edgeless,0.0,0.0,0.0,0.0
 Friendz,NA,NA,NA,NA
 Optimal Shelf...,NA,NA,NA,NA
 Datum,NA,NA,NA,NA
 Beaxy,0.0,0.0,0.0,0.0
 Mysterium,NA,NA,NA,NA
 Humaniq,NA,NA,NA,NA
 NeuroChain,NA,NA,NA,NA
 CargoX,NA,NA,NA,NA
 Bloom,NA,NA,NA,NA
 Moneytoken,NA,NA,NA,NA
 Global Awards...,NA,NA,NA,NA
 EBCoin,NA,NA,NA,NA
 UNIVERSAL CASH,NA,NA,NA,NA
 Dignity,NA,NA,NA,NA
 Hiveterminal ...,NA,NA,NA,NA
 ADAMANT Messe...,NA,NA,NA,NA
 Blockchain Ce...,NA,NA,NA,NA
 BridgeCoin,NA,NA,NA,NA
 DecentBet,NA,NA,NA,NA
 CanYaCoin,NA,NA,NA,NA
 Conceal,NA,NA,NA,NA
 Typerium,1.0,0.047,0.731,0.223
 Blockport,NA,NA,NA,NA
 SophiaTX,1.0,0.031,0.81,0.159
 FintruX Network,1.0,0.071,0.692,0.237
 Stox,NA,NA,NA,NA
 Cloudbric,NA,NA,NA,NA
 DomRaider,1.0,0.057,0.762,0.181
 Aventus,0.9999,0.06,0.77,0.17
 Atlantis Blue...,NA,NA,NA,NA
 Iconiq Lab Token,NA,NA,NA,NA
 Cardstack,NA,NA,NA,NA
 GoldCoin,NA,NA,NA,NA
 SPINDLE,NA,NA,NA,NA
 HOLD,0.9999,0.047,0.756,0.197
 Auroracoin,NA,NA,NA,NA
 FLIP,NA,NA,NA,NA
 Thrive Token,NA,NA,NA,NA
 Amon,1.0,0.0,0.577,0.423
 Vetri,0.9999,0.026,0.812,0.162
 Paragon,NA,NA,NA,NA
 Faceter,NA,NA,NA,NA
 CoinUs,1.0,0.03,0.764,0.206
 Bittwatt,NA,NA,NA,NA
 Hacken,0.9999,0.047,0.756,0.197
 Bounty0x,0.0,0.0,0.0,0.0
 CryptoPing,NA,NA,NA,NA
 TraDove B2BCoin,NA,NA,NA,NA
 Pesetacoin,NA,NA,NA,NA
 Vision Indust...,NA,NA,NA,NA
 CoinFi,NA,NA,NA,NA
 BitDegree,NA,NA,NA,NA
 Mallcoin,NA,NA,NA,NA
 Birake,NA,NA,NA,NA
 Electrify.Asia,0.9997,0.056,0.769,0.175
 IXT,NA,NA,NA,NA
 Rivetz,NA,NA,NA,NA
 ParallelCoin,NA,NA,NA,NA
 Ferrum Network,NA,NA,NA,NA
 Patientory,0.9231,0.001,0.984,0.015
 ATMChain,NA,NA,NA,NA
 Essentia,1.0,0.023,0.766,0.21
 Flixxo,1.0,0.041,0.736,0.223
 Vezt,0.9999,0.053,0.763,0.184
 DCORP Utility,NA,NA,NA,NA
 Hero,NA,NA,NA,NA
 Gems,NA,NA,NA,NA
 MinexCoin,0.9995,0.071,0.724,0.205
 TV-TWO,0.9118,0.005,0.982,0.013
 Birdchain,NA,NA,NA,NA
 Shivom,NA,NA,NA,NA
 Eristica,0.0,0.0,0.0,0.0
 Ubcoin Market,NA,NA,NA,NA
 PHI Token,0.9999,0.047,0.756,0.197
 Globatalent,NA,NA,NA,NA
 Playkey,NA,NA,NA,NA
 Indorse Token,NA,NA,NA,NA
 Blockium,1.0,0.038,0.741,0.221
 JET8,NA,NA,NA,NA
 ATN,NA,NA,NA,NA
 Tokes,NA,NA,NA,NA
 CoTrader,NA,NA,NA,NA
 FlypMe,NA,NA,NA,NA
 Devery,NA,NA,NA,NA
 HOQU,NA,NA,NA,NA
 Crowd Machine,NA,NA,NA,NA
 Bezop,NA,NA,NA,NA
 Eroscoin,NA,NA,NA,NA
 EnergiToken,NA,NA,NA,NA
 adbank,-0.9952,0.143,0.708,0.149
 Bigbom,NA,NA,NA,NA
 BitScreener T...,NA,NA,NA,NA
 CYBR Token,0.9999,0.099,0.711,0.19
 Storiqa,NA,NA,NA,NA
 Jarvis+,1.0,0.053,0.75,0.197
 Zetacoin,NA,NA,NA,NA
 Verify,0.0,0.0,1.0,0.0
 Bayan Token,1.0,0.05,0.748,0.201
