Success Index,Ticker,Name,Longevity of Project,Country,Type,Platform,Market Cap,Price,Volume 24hr,Pct 1h,Pct 24h,Pct 7d,Coin Mkt Cap Rating,ICO Watch Rating,Trading Status,Pre Ico Start,Pre Ico End Date,Pre ICO Duration,ICO Start,ICO End,ICO Duration,Sentiment Compound,Sentiment negative,Sentiment neutral,Sentiment positive,# of Media Post
99.08695,ABS, Absolute,274.0,Taiwan,ICO,Ethereum,30157,9e-06,58,-0.87,-19.99,-18.16,1723.0,5.0,Closed,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-07-14 00:00:00,2017-08-04 23:59:59,158,-0.20565555600000002,0.094,0.091555556,0.814555556,9.0
95.97608,ARAW, ARAW,279.0,United Kingdom,ICO,Ethereum,30733,0.004594,10195,1.63,1.61,6.76,1722.0,5.0,Closed,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2018-09-10 00:00:00,2019-02-15 23:59:00,27,0.5562357139999999,0.112214286,0.041714286,0.8460714290000001,70.0
86.07656,BITS, Bitstar,289.0,Kenya,ICO,Ethereum,138963,0.0008439999999999999,332,7.89,14.36,-22.22,1407.0,3.5,Closed,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-12-01 00:00:00,2018-05-01 00:00:00,61,-0.6908,0.006999999999999999,0.02,0.973,1.0
99.99397,EMT, Emanate,290.0,Poland,ICO,Ethereum,0,0.000394,2855,0.23,16.02,17.64,2233.0,4.6,Closed,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-08-24 17:00:00,2017-09-27 17:00:00,15,0.791758,0.10011,0.03418,0.86574,100.0
99.988914,APH, Aphelion,312.0,,ICO,NEO,123342,0.003952000000000001,0,-0.12,-37.79,-25.24,1430.0,4.1,Trading,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-11-15 00:00:00,2017-12-07 00:00:00,19,0.9034,0.034,0.027999999999999997,0.938,1.0
99.89636,HIT, HitChain,320.0,Russia,ICO,Ethereum,0,0.24185900000000002,96958,-0.31,-0.65,11.21,2133.0,4.1,Unknown,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-09-28 03:00:00,2017-09-28 03:00:00,121,0.87525,0.1336,0.0518,0.8147,10.0
99.448105,BLN, Bolenum,321.0,Nigeria,ICO,Ethereum,4809,0.003979,29,-0.1,134.75,0.3,1953.0,4.6,Trading,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-07-15 00:00:00,2017-08-14 23:59:59,27,0.86734,0.0908,0.03,0.8794,5.0
99.820045,HBZ, HBZ coin,326.0,Singapore,ICO,Ethereum,2451916,0.379011,158636,-1.23,-4.31,-41.52,651.0,4.4,Trading,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2018-01-26 12:00:00,2018-03-04 12:00:00,115,0.321625,0.019,0.06725,0.91375,4.0
98.735054,NGC, NAGA,329.0,Germany,ICO,Ethereum,1591749,0.039678,2746,-4.3,-7.03,-19.37,762.0,5.0,Trading,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-12-01 00:00:00,2017-12-15 23:59:59,21,0.0,0.0,0.0,0.0,0.0
99.934006,HPC, Happycoin,336.0,,ICO,,1306157,0.001911,265891,-0.2,-3.83,37.62,818.0,4.6,Unknown,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-09-28 03:00:00,2017-09-28 03:00:00,14,-0.514595652,0.06026087,0.891826087,0.047913042999999995,23.0
94.37492,GNX, Genaro Network,339.0,Singapore,ICO,Ethereum,3115806,0.002868,35620,-0.08,-5.27,-1.14,579.0,5.0,Trading,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-11-17 00:00:00,2017-12-08 18:16:05,88,0.706183333,0.093333333,0.038666667,0.867833333,6.0
98.30831,BBK, Brickblock,341.0,Germany,ICO,Ethereum,2169025,0.004151,344,-1.5,8.69,-15.71,683.0,4.6,Closed,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2018-05-09 13:00:00,2018-05-16 13:00:00,30,-0.28555,0.006999999999999999,0.0115,0.981,2.0
98.77756,DTX, DaTa eXchange,351.0,Belgium,ICO,Ethereum,1848845,0.003914,134354,-3.67,-6.31,-4.52,727.0,4.8,Closed,2018-03-19 15:00:00,2018-04-25 15:00:00,37,2018-04-26 15:00:00,2018-06-30 15:00:00,29,0.062768571,0.075114286,0.8241714290000001,0.100714286,35.0
99.73866,CVC, Civic,351.0,United States of America,ICO,Ethereum,27128753,0.044614999999999995,14432647,0.25,5.62,7.18,137.0,4.6,Trading,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-06-21 16:00:00,2017-06-28 16:00:00,61,0.582416667,0.0835,0.04,0.8763333329999999,6.0
99.81166,STQ, Storiqa,351.0,Hong Kong,ICO,Ethereum,261202,0.0069819999999999995,1086,-0.11,-9.02,-28.83,1252.0,5.0,Trading,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-12-05 00:00:00,2018-02-13 23:00:00,46,0.501907,0.07946,0.034260000000000006,0.88633,100.0
99.25316,B2B, B2BX,353.0,Russia,ICO,Ethereum,11291589,0.0008060000000000001,414,0.04,-6.38,-3.64,292.0,5.0,Trading,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-09-13 12:00:00,2017-09-29 12:00:00,7,-0.016261111,0.027611111,0.9066111109999999,0.065666667,18.0
98.51767,CAR, CarBlock,358.0,Belize,ICO,Ethereum,0,0.000379,38378,-0.06,1.61,-8.77,2157.0,4.4,Closed,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-12-10 13:00:00,2018-01-10 13:00:00,25,0.0,0.0,0.0,0.0,0.0
