FIPS,year,population,poverty-rate,median-household-income,median-property-value,evictions,eviction-rate,Urban,LATracts_half,LATracts1,LATracts10,LATracts20,Pct_in_100yr,Zip,Rating,Socioeconomic,Housing - Disability,Minority Status - Language,Housing - Transportation,SVI INDEX
48157670101,,,,,,,,,,,,,,77053.0,2.0,,,,,
48157670200,,,,,,,,,,,,,,77053.0,5.0,,,,,
48157670700,,,,,,,,,,,,,,77053.0,3.0,,,,,
48157672400,,,,,,,,,,,,,,77083.0,5.0,,,,,
48157672601,,,,,,,,,,,,,,77083.0,5.0,,,,,
48157672602,,,,,,,,,,,,,,77083.0,4.0,,,,,
48157672701,,,,,,,,,,,,,,77083.0,6.0,,,,,
48201100000,2016.0,4366.0,1.69,82004.0,229700.0,47.0,3.02,1.0,0.0,0.0,0.0,0.0,,77392.0,3.3333333333333335,0.2757,0.0427,0.5096,0.8991,0.3868
48201210100,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,,,0.4032,0.2962,0.7744,0.8837,0.62
48201210400,2016.0,4825.0,33.75,23456.0,116900.0,43.0,4.1,1.0,1.0,0.0,0.0,0.0,0.032204331,,,0.9354,0.9624,0.9392,0.9257,0.9873
48201210500,2016.0,6061.0,31.28,30996.0,110600.0,15.0,1.59,1.0,1.0,0.0,0.0,0.0,0.0,77009.0,2.5,0.9722,0.7933,0.9263,0.9301,0.9754
48201210600,2016.0,5391.0,14.3,48026.0,159200.0,8.0,0.89,1.0,1.0,0.0,0.0,0.0,0.0,77009.0,6.0,0.4276,0.512,0.7461,0.2809,0.4706
48201210700,2016.0,2176.0,31.8,24458.0,88500.0,11.0,2.91,1.0,0.0,0.0,0.0,0.0,0.0,,,0.9599,0.7689,0.9474,0.4809,0.8679
48201210800,2016.0,2563.0,45.42,21204.0,55300.0,25.0,3.84,1.0,1.0,0.0,0.0,0.0,0.034358047,77026.0,4.0,0.9267,0.7124,0.8986,0.778,0.9056
48201210900,2016.0,1474.0,25.0,28174.0,61100.0,19.0,5.9,1.0,0.0,0.0,0.0,0.0,1.0,,,0.8721,0.8555,0.8058,0.2284,0.7334
48201211000,2016.0,1854.0,21.84,27007.0,70400.0,14.0,2.73,1.0,0.0,0.0,0.0,0.0,0.910414334,,,0.915,0.6158,0.9409,0.5767,0.8403
48201211100,2016.0,5710.0,44.81,19907.0,55300.0,93.0,7.29,1.0,1.0,1.0,0.0,0.0,0.016553481000000002,77026.0,2.0,0.9739,0.9331,0.8993,0.4216,0.8944
48201211200,2016.0,2553.0,37.2,20169.0,49900.0,74.0,10.82,1.0,1.0,0.0,0.0,0.0,0.686912509,77026.0,4.0,0.7736,0.6579999999999999,0.9124,0.6849,0.8113
48201211300,2016.0,5163.0,49.5,16912.0,64200.0,103.0,7.55,1.0,1.0,1.0,0.0,0.0,0.0,77020.0,7.0,0.9724,0.9559,0.8599,0.8114,0.971
48201211400,2016.0,3844.0,43.77,27125.0,156300.0,46.0,5.51,1.0,1.0,1.0,0.0,0.0,0.0,77020.0,2.0,0.8811,0.9291,0.7734,0.7298,0.9021
48201211500,2016.0,7382.0,32.06,36023.0,70700.0,15.0,1.57,1.0,1.0,1.0,0.0,0.0,0.0,77023.0,3.0,0.8728,0.5064,0.983,0.6878,0.8459
48201211600,2016.0,2755.0,25.22,21075.0,62500.0,16.0,3.82,1.0,1.0,0.0,0.0,0.0,0.0,,,0.8782,0.6835,0.946,0.5511,0.8324
48201211700,2016.0,3863.0,38.41,17500.0,45900.0,57.0,6.64,1.0,1.0,1.0,0.0,0.0,0.965517241,,,0.9497,0.7567,0.9365,0.8165,0.9392
48201211900,2016.0,5292.0,26.1,32382.0,63300.0,5.0,0.79,1.0,1.0,0.0,0.0,0.0,0.0,77020.0,5.0,0.9384,0.7396,0.9669,0.4788,0.8564
48201212300,2016.0,6088.0,40.25,24468.0,81300.0,28.0,2.41,1.0,1.0,0.0,0.0,0.0,0.0,77009.0,5.5,0.9839,0.9594,0.9378,0.9411,0.9954
48201212400,2016.0,3081.0,30.17,30987.0,82300.0,7.0,1.5,1.0,1.0,0.0,0.0,0.0,0.07005758200000001,,,0.8496,0.544,0.9719,0.6542,0.8271
48201212500,2016.0,3520.0,22.04,31176.0,60200.0,21.0,4.34,1.0,1.0,1.0,0.0,0.0,0.0,77029.0,5.0,0.8170000000000001,0.8107,0.9485,0.3329,0.7701
48201220100,2016.0,2310.0,25.13,32350.0,68000.0,29.0,10.21,1.0,1.0,0.0,0.0,0.0,0.0,,,0.9467,0.8896,0.9587,0.5214,0.9012
48201220200,2016.0,2664.0,16.01,34961.0,95100.0,5.0,1.08,1.0,1.0,0.0,0.0,0.0,0.029527559,77022.0,6.0,0.6607,0.28300000000000003,0.8859999999999999,0.2286,0.5361
48201220300,2016.0,4452.0,22.78,39831.0,79000.0,6.0,0.8,1.0,1.0,0.0,0.0,0.0,0.0,77022.0,5.0,0.7642,0.2878,0.9275,0.361,0.6372
48201220400,2016.0,4346.0,30.02,33802.0,82900.0,12.0,1.4,1.0,0.0,0.0,0.0,0.0,0.0,77022.0,5.0,0.9002,0.794,0.9552,0.7246,0.9071
48201220500,2016.0,4054.0,26.06,18289.0,78600.0,28.0,1.88,1.0,1.0,0.0,0.0,0.0,0.012352033,,,0.8726,0.6371,0.8881,0.99,0.9597
48201220600,2016.0,3806.0,33.37,37260.0,83100.0,6.0,1.01,1.0,1.0,0.0,0.0,0.0,0.0,77022.0,8.0,0.8051,0.5248,0.9657,0.5652,0.7787
48201220700,2016.0,5485.0,42.22,22464.0,80100.0,17.0,1.46,1.0,1.0,0.0,0.0,0.0,0.0,77093.0,5.0,0.9906,0.8446,0.9462,0.8636,0.977
48201220800,2016.0,2787.0,54.41,22132.0,84600.0,48.0,6.69,1.0,0.0,0.0,0.0,0.0,0.0,77093.0,5.0,0.9977,0.8302,0.9347,0.66,0.9453
48201220900,2016.0,1610.0,21.88,34594.0,69200.0,29.0,11.03,1.0,1.0,0.0,0.0,0.0,0.103636364,,,0.8818,0.6672,0.9746,0.5959,0.8486
48201221000,2016.0,3520.0,31.52,36550.0,83200.0,14.0,2.93,1.0,1.0,0.0,0.0,0.0,0.52064027,77093.0,3.5,0.877,0.725,0.9191,0.7164,0.8741
48201221100,2016.0,3717.0,25.76,36071.0,87400.0,6.0,1.36,1.0,1.0,1.0,0.0,0.0,0.0,,,0.9641,0.3014,0.9204,0.5122,0.7833
48201221200,2016.0,6381.0,19.49,40913.0,84100.0,9.0,1.86,1.0,1.0,0.0,0.0,0.0,0.0,77076.0,8.0,0.6883,0.5377,0.9548,0.3583,0.6614
48201221300,2016.0,8843.0,26.89,36569.0,83400.0,8.0,0.79,1.0,1.0,1.0,0.0,0.0,0.0,77076.0,8.0,0.7754,0.2978,0.9608,0.4034,0.6702
