FIPS,food_desert
48201453502,1
48201453601,1
48201453602,1
48201453700,1
48201453800,1
48201453900,2
48201454000,1
48201454100,1
48201454200,2
48201454301,1
48201454302,2
48201454501,2
48201454502,2
48201454600,1
48201454700,1
48201454800,1
48201454900,2
48201455000,1
48201455101,2
48201455102,2
48201455200,2
48201455300,2
48201510100,1
48201510200,1
48201510300,1
48201510400,1
48201510500,1
48201510600,1
48201510700,1
48201510800,1
48201510900,2
48201511001,1
48201511002,1
48201511100,1
48201511200,1
48201511301,0
48201511302,1
48201511400,1
48201511500,1
48201511600,1
48201520100,1
48201520200,1
48201520300,1
48201520400,1
48201520500,1
48201520601,0
48201520602,0
48201520700,1
48201521000,0
48201521100,0
48201521200,1
48201521300,1
48201521400,1
48201521500,1
48201521600,2
48201521700,2
48201521800,2
48201521900,1
48201522000,1
48201522100,1
48201522201,1
48201522202,1
48201522301,0
48201522302,0
48201522401,1
48201522402,1
48201522500,1
48201530100,1
48201530200,1
48201530300,1
48201530400,1
48201530500,1
48201530600,1
48201530700,1
48201530800,1
48201530900,1
48201531000,1
48201531100,1
48201531200,1
48201531300,1
48201531400,1
48201531500,1
48201531600,2
48201531700,1
48201531800,2
48201531900,2
48201532001,1
48201532002,1
48201532100,1
48201532200,1
48201532300,1
48201532400,2
48201532501,2
48201532502,1
48201532600,2
48201532700,1
48201532800,1
48201532900,2
48201533000,2
48201533100,2
48201533200,2
48201533300,2
48201533400,2
48201533500,2
48201533600,1
48201533701,1
48201533702,1
48201533801,2
48201533802,2
48201533901,2
48201533902,1
48201534001,1
48201534002,1
48201534003,2
48201534100,2
48201534201,1
48201534202,2
48201534203,2
48201540100,2
48201540200,2
48201540501,0
48201540502,1
48201540601,1
48201540602,1
48201540700,2
48201540800,2
48201540901,2
48201540902,1
48201541001,2
48201541002,2
48201541003,2
48201541100,2
48201541201,1
48201541202,2
48201541203,1
48201541300,1
48201541400,2
48201541500,1
48201541601,2
48201541602,2
48201541800,2
48201541900,2
48201542000,2
48201542101,2
48201542102,2
48201542200,2
48201542301,2
48201542302,2
48201542400,1
48201542500,2
48201542600,1
48201542700,1
48201542800,2
48201543003,2
48201550100,2
48201550200,1
48201550301,2
48201550302,2
48201550401,2
48201550402,2
48201550500,2
48201550601,2
48201550602,0
48201550603,1
48201550700,2
48201550800,1
48201550900,2
48201551000,1
48201551100,1
48201551200,1
48201551300,2
48201551400,2
48201551500,2
48201551600,2
48201551701,1
48201551702,1
48201551703,2
48201551800,2
48201551900,1
48201552001,1
48201552002,1
48201552101,2
48201552102,2
48201552103,1
48201552200,2
48201552301,2
48201552302,2
48201552400,2
48201552500,1
48201552601,2
48201552602,2
48201552700,1
48201552800,2
48201552900,1
48201553001,2
48201553002,2
48201553100,2
48201553200,2
48201553300,1
48201553401,2
48201553402,1
48201553403,1
48201553500,2
48201553600,2
48201553700,2
48201553801,2
48201553802,2
48201553900,2
48201554001,1
48201554002,1
48201554101,1
48201554102,2
48201554200,1
48201554301,1
48201554302,1
48201554401,2
48201554402,2
48201554403,2
48201554501,2
48201554502,1
48201554600,2
48201554700,1
48201554801,2
48201554802,2
48201554901,2
48201554902,2
48201554903,2
48201555000,2
48201555100,2
48201555200,2
48201555301,2
48201555302,2
48201555401,2
48201555402,2
48201555502,2
48201555701,2
48201555702,2
48201980000,2
48201980100,2
