,RRI
0,4.876418663303909
1,6.511979823455233
2,4.9773013871374525
3,6.511979823455233
4,6.511979823455233
5,5.1197982345523325
6,6.64186633039092
7,6.7616645649432545
8,5.2559899117276165
9,2.569987389659521
10,1.9634300126103406
11,6.081967213114754
12,3.533417402269861
13,1.8764186633039088
14,4.1651954602774275
15,4.012610340479194
16,0.7276166456494326
17,2.1992433795712487
18,2.3240857503152585
19,0.8764186633039095
20,1.587641866330391
21,3.1349306431273645
22,1.5989911727616648
23,4.055485498108449
24,3.2370744010088273
25,3.266078184110971
26,3.4653215636822194
27,3.2837326607818413
28,5.476670870113493
29,4.960907944514501
30,4.480453972257251
31,2.7591424968474145
32,4.519546027742749
33,3.119798234552333
34,3.7213114754098364
35,3.629255989911728
36,2.55485498108449
37,2.781841109709962
38,5.344262295081967
39,3.976040353089534
40,1.7843631778058004
41,1.7011349306431274
42,4.117276166456494
43,2.001261034047919
44,3.457755359394704
45,3.523329129886507
46,5.353089533417402
47,2.331651954602774
48,3.540983606557377
49,1.5245901639344264
50,2.1235813366960907
51,3.3076923076923075
52,1.9609079445145021
53,2.7036569987389654
54,3.291298865069357
55,4.627994955863809
56,0.6973518284993698
57,3.4968474148802016
58,3.2131147540983607
59,3.578814627994956
60,3.3089533417402266
61,3.6015132408575026
62,2.9533417402269864
63,0.858764186633039
64,2.1740226986128626
65,1.9987389659520804
66,2.708701134930643
67,3.2887767969735178
68,3.440100882723834
69,3.200504413619168
70,1.3455233291298867
71,1.9003783102143756
72,3.6191677175283727
73,2.0226986128625475
74,2.3770491803278686
75,4.716267339218159
76,3.113493064312736
77,4.622950819672131
78,3.682219419924338
79,3.369482976040353
80,2.9482976040353086
81,3.7465321563682217
82,3.911727616645649
83,4.778058007566204
84,2.4274905422446404
85,3.790668348045397
86,4.791929382093317
87,4.987389659520806
88,3.372005044136192
89,3.8184110970996223
90,6.441361916771752
91,2.186633039092056
92,2.228247162673392
93,5.03530895334174
94,5.634300126103405
95,4.926860025220682
96,7.1349306431273645
97,7.568726355611602
98,4.002522068095838
99,3.0264817150063053
100,3.417402269861286
101,6.230769230769231
102,3.780580075662043
103,3.7011349306431276
104,3.749054224464061
105,2.2648171500630516
106,4.559899117276167
107,4.430012610340479
108,3.765447667087011
109,3.5018915510718793
110,3.145018915510719
111,2.3102143757881466
112,2.4716267339218163
113,5.408575031525851
114,4.2950819672131155
115,4.050441361916772
116,3.0554854981084487
117,4.209331651954602
118,5.094577553593948
119,4.867591424968475
120,4.847414880201765
121,5.032786885245902
122,5.0
123,5.14501891551072
124,5.699873896595208
125,6.0075662042875155
126,5.919293820933165
127,2.6986128625472885
128,4.965952080706179
129,4.151324085750315
130,5.511979823455233
131,6.85750315258512
132,7.049180327868852
133,6.35813366960908
134,5.392181588902901
135,2.539722572509458
136,5.757881462799496
137,7.359394703656998
138,6.851197982345523
139,6.546027742749054
140,5.235813366960908
141,6.163934426229508
142,5.4892812105926865
143,6.675914249684742
144,7.1197982345523325
145,5.881462799495586
146,7.090794451450189
147,6.796973518284993
148,7.770491803278688
149,6.644388398486759
150,5.48297604035309
151,6.433795712484238
152,6.3682219419924335
153,5.972257250945775
154,6.48297604035309
155,5.998738965952081
156,5.153846153846153
157,4.306431273644388
158,5.912988650693569
159,4.504413619167717
160,2.5094577553593944
161,2.9192938209331656
162,4.230769230769231
163,3.419924337957125
164,4.327868852459017
165,4.930643127364439
166,6.133669609079446
167,4.532156368221942
168,5.684741488020177
169,3.9079445145018914
170,3.1828499369482977
171,4.249684741488021
172,5.344262295081967
173,3.5359394703657
174,4.226986128625473
175,4.914249684741488
176,3.656998738965952
